Zone,PIB Valeur US $,Céréales - Disponibilité intérieure (Milliers de tonnes),Fruits - Disponibilité intérieure (Milliers de tonnes),Légumes - Disponibilité intérieure (Milliers de tonnes),Poisson - Disponibilité intérieure (Milliers de tonnes),Viande - Disponibilité intérieure (Milliers de tonnes),distance_to_france,region,Femmes,Hommes,Population rurale,Population totale,Population urbaine,Volailles - Disponibilité intérieure (Milliers de tonnes),Volailles - Importations - Quantité (Milliers de tonnes),Volailles - Production (Milliers de tonnes),Blé - Aliments pour animaux (Milliers de tonnes),Blé - Importations - Quantité (Milliers de tonnes),Blé - Production (Milliers de tonnes),Maïs - Aliments pour animaux (Milliers de tonnes),Maïs - Importations - Quantité (Milliers de tonnes),Maïs - Production (Milliers de tonnes)
Afghanistan,18904.490263,8124.0,1562.0,2571.0,329.2,315.0,5572.98095852077,Asia,18679.089,19090.409,27626.382,37769.499,9582.625,69.0,44.0,28.0,0.0,2534.0,4890.0,118.0,131.0,185.0
Afrique du Sud,351430.991183,16920.0,3278.0,2536.0,4087.8,3661.0,8789.48065983061,Africa,29879.107,28207.948,19244.858,58087.055,38820.239,2178.0,488.0,1816.0,23.0,2009.0,1597.0,5698.0,609.0,11276.0
Albanie,15400.237155,1122.0,588.0,1162.0,142.07,117.0,1545.669868608897,Europe,1435.198,1438.686,1139.266,2873.883,1799.162,35.0,22.0,13.0,29.0,308.0,233.0,420.0,99.0,389.0
Algérie,171158.234285,18927.0,5037.0,9670.0,1017.1,851.0,2023.635531887154,Africa,20948.465,21756.903,11442.587,42705.368,31236.431,280.0,0.0,285.0,712.0,6788.0,3877.0,3440.0,4383.0,6.0
Allemagne,3888326.788627,46010.0,7500.0,8369.0,7806.8,6763.0,815.828970128518,Europe,42124.562,41023.579,18651.132,83148.141,63787.507,1538.0,831.0,1544.0,7100.0,5367.0,23499.0,5820.0,4865.0,3665.0
Angola,89417.18912,5127.0,5161.0,822.0,1193.46,729.0,6574.640062591715,Africa,16370.553,15983.035,10751.626,32353.588,21035.94,314.0,265.0,49.0,30.0,907.0,3.0,1347.0,239.0,2819.0
Antigua-et-Barbuda,1687.533333,10.0,17.0,8.0,17.41,10.0,6659.442734327673,Americas,48.156,43.961,78.577,92.117,25.507,7.0,7.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0
Arabie saoudite,792966.83819,13416.0,2925.0,2552.0,2321.22,1834.0,4546.305163005144,Asia,14991.273,20836.089,5440.3,35827.362,28700.362,1412.0,650.0,800.0,226.0,3578.0,555.0,2285.0,3321.0,135.0
Argentine,445445.254556,31021.0,6055.0,3547.0,5513.41,5224.0,11464.883091614493,Americas,22592.15,22153.37,3612.215,44745.52,41489.566,2021.0,5.0,2249.0,50.0,13.0,19485.0,16000.0,9.0,56861.0
Arménie,13619.290546,757.0,561.0,697.0,188.61,164.0,3496.91223891037,Asia,1545.834,1274.767,1080.164,2820.602,1856.542,55.0,43.0,12.0,112.0,287.0,113.0,22.0,67.0,5.0
Australie,1380207.832899,16366.0,3127.0,2295.0,3663.62,2874.0,15159.11357911555,Oceania,12778.251,12578.919,3481.222,25357.17,21607.414,1240.0,9.0,1276.0,5052.0,795.0,17598.0,175.0,72.0,327.0
Autriche,445011.872704,6621.0,1203.0,1066.0,894.89,735.0,947.6036348151916,Europe,4511.992,4367.948,3636.627,8879.94,5129.574,158.0,113.0,132.0,535.0,1369.0,1664.0,1293.0,1119.0,2299.0
Azerbaïdjan,48174.235294,4870.0,995.0,1967.0,381.74,361.0,3687.797669411426,Asia,5181.658,5051.096,4403.28,10232.753,5611.295,146.0,39.0,112.0,546.0,1643.0,2114.0,241.0,76.0,284.0
Bahamas,13164.429143,35.0,68.0,46.0,46.33,38.0,7255.861102599434,Americas,210.821,193.737,67.996,404.557,335.099,22.0,25.0,6.0,0.0,17.0,78.5,1.0,4.0,1.0
