,Zone,PIB Croissance annuelle US$,PIB Croissance annuelle US$ par habitant,PIB Valeur US $,PIB Valeur US $ par habitant,distance_to_france,country,region,Femmes,Hommes,Population rurale,Population totale,Population urbaine,Volailles - Disponibilité intérieure (Milliers de tonnes),Volailles - Importations - Quantité (Milliers de tonnes),Volailles - Production (Milliers de tonnes),Blé - Aliments pour animaux (Milliers de tonnes),Blé - Importations - Quantité (Milliers de tonnes),Blé - Production (Milliers de tonnes),Maïs - Aliments pour animaux (Milliers de tonnes),Maïs - Importations - Quantité (Milliers de tonnes),Maïs - Production (Milliers de tonnes),"Inflation, consumer prices (annual %)",Agricultural land (% of land area),CO2 emissions (kt),Container port traffic (TEU: 20 foot equivalent units),Population density (people per sq. km of land area),Merchandise exports (current US$),Merchandise imports (current US$),Rail lines (total route-km),country_code,Revenu National,PIB Domestique,Revenu national avant impôt - p0p50,Revenu national avant impôt - p90p100,Revenu national avant impôt - p99p100
0,Afghanistan,2.636658,0.289848,18904.490263,496.940553,5572.98095852077,AF,Asia,18679.089,19090.409,27626.382,37769.499,9582.625,69.0,44.0,28.0,0.0,2534.0,4890.0,118.0,131.0,185.0,2.30237251516844,58.2769881790166,11238.83,1229081.0,57.9082516903546,864000000,6777000000,2977.5,AF,3525.3261,3768.6449,0.1779,0.4101,0.1508
1,Afrique du Sud,-4.526818,-5.775297,351430.991183,6001.389576,8789.48065983061,ZA,Africa,29879.107,28207.948,19244.858,58087.055,38820.239,2178.0,488.0,1816.0,23.0,2009.0,1597.0,5698.0,609.0,11276.0,4.12024587014984,79.4178502831612,446626,4529034,47.8835494481036,90016000000,107539000000,20953,ZA,15501.8995,18839.5988,0.058,0.6541,0.1931
2,Albanie,1.608539,1.672835,15400.237155,5345.602513,1545.669868608897,AL,Europe,1435.198,1438.686,1139.266,2873.883,1799.162,35.0,22.0,13.0,29.0,308.0,233.0,420.0,99.0,389.0,1.41109078954248,42.8467153284672,4993.3,145762,104.167554744526,2716000000,5897000000,2977.5,AL,12460.1298,14704.0295,0.183,0.3449,0.0933
3,Algérie,-2.426783,-4.295718,171158.234285,3975.519002,2023.635531887154,DZ,Africa,20948.465,21756.903,11442.587,42705.368,31236.431,280.0,0.0,285.0,712.0,6788.0,3877.0,3440.0,4383.0,6.0,1.95176821052894,17.3649641165853,170582.4,1793990,17.9303156808402,35312000000,44632000000,4020.25,DZ,12956.7691,14951.7098,0.1902,0.3808,0.0991
4,Allemagne,-2.236766,-2.696367,3888326.788627,46557.284069,815.828970128518,DE,Europe,42124.562,41023.579,18651.132,83148.141,63787.507,1538.0,831.0,1544.0,7100.0,5367.0,23499.0,5820.0,4865.0,3665.0,1.44565976888251,47.7002776267209,658693.5,15029605,237.822954291766,1489412000000,1233978000000,33423,DE,43387.228,50590.0051,0.188,0.3745,0.1305
5,Angola,-11.776659,-14.591763,89417.18912,2809.626403,6574.640062591715,AO,Africa,16370.553,15983.035,10751.626,32353.588,21035.94,314.0,265.0,49.0,30.0,907.0,3.0,1347.0,239.0,2819.0,17.0797044074954,45.6825940482875,24382.9,672212,25.9513820486083,34726000000,14127000000,2977.5,AO,9863.8187,11988.1518,0.0904,0.5801,0.2598
6,Antigua-et-Barbuda,5.08043,4.180217,1687.533333,17376.112907,6659.442734327673,AG,Americas,48.156,43.961,78.577,92.117,25.507,7.0,7.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,2.227478809383,40.44699488220985,17873.55,1229081.0,81.8442208657917,10869000000.0,13897500000.0,2977.5,,20807.3355,25331.682,0.1452,0.45389999999999997,0.1501
7,Arabie saoudite,0.819424,-0.845101,792966.83819,23139.798657,4546.305163005144,SA,Asia,14991.273,20836.089,5440.3,35827.362,28700.362,1412.0,650.0,800.0,226.0,3578.0,555.0,2285.0,3321.0,135.0,-2.09333333333333,80.7539305202145,526770.3,8905621,16.6662923491294,261603000000,153163000000,2977.5,SA,55867.3772,61982.5349,0.108,0.5441,0.2098
8,Argentine,-13.944717,-14.750924,445445.254556,9947.264856,11464.883091614493,AR,Americas,22592.15,22153.37,3612.215,44745.52,41489.566,2021.0,5.0,2249.0,50.0,13.0,19485.0,16000.0,9.0,56861.0,2.227478809383,39.6032286082823,168162,1833964,16.4208266190179,65116000000,49124000000,17866,AR,19423.0998,23138.8208,0.1315,0.4727,0.1514
9,Arménie,9.322165,9.100914,13619.290546,4604.641377,3496.91223891037,AM,Asia,1545.834,1274.767,1080.164,2820.602,1856.542,55.0,43.0,12.0,112.0,287.0,113.0,22.0,67.0,5.0,1.44344660770702,58.9041095890411,6195.6,1229081.0,99.0727783631893,2640000000,5514000000,698.4,AM,13813.2035,15586.5575,0.1859,0.396,0.15
