,Zone,PIB Croissance annuelle US$,PIB Croissance annuelle US$ par habitant,PIB Valeur US $,PIB Valeur US $ par habitant,Disponibilité alimentaire en quantité (kg/personne/an) autre viandes,Disponibilité de protéines en quantité (g/personne/jour) autre viandes,Disponibilité alimentaire en quantité (kg/personne/an) volailles,Disponibilité de protéines en quantité (g/personne/jour) volailles,Femmes,Hommes,Population rurale,Population totale,Population urbaine
0,Afghanistan,2.636658,0.289848,18904.490263,496.940553,1.8,0.64,1.8,0.64,18679.089,19090.409,27626.382,37769.499,9582.625
1,Afrique du Sud,-4.526818,-5.775297,351430.991183,6001.389576,37.2,14.7,37.2,14.7,29879.107,28207.948,19244.858,58087.055,38820.239
2,Albanie,1.608539,1.672835,15400.237155,5345.602513,12.23,4.77,12.23,4.77,1435.198,1438.686,1139.266,2873.883,1799.162
3,Algérie,-2.426783,-4.295718,171158.234285,3975.519002,6.51,2.0,6.51,2.0,20948.465,21756.903,11442.587,42705.368,31236.431
4,Allemagne,-2.236766,-2.696367,3888326.788627,46557.284069,17.3,7.08,17.3,7.08,42124.562,41023.579,18651.132,83148.141,63787.507
5,Angola,-11.776659,-14.591763,89417.18912,2809.626403,9.86,3.37,9.86,3.37,16370.553,15983.035,10751.626,32353.588,21035.94
6,Antigua-et-Barbuda,5.08043,4.180217,1687.533333,17376.112907,60.95,19.91,60.95,19.91,48.156,43.961,78.577,92.117,25.507
7,Arabie saoudite,0.819424,-0.845101,792966.83819,23139.798657,41.21,14.74,41.21,14.74,14991.273,20836.089,5440.3,35827.362,28700.362
8,Argentine,-13.944717,-14.750924,445445.254556,9947.264856,45.12,14.42,45.12,14.42,22592.15,22153.37,3612.215,44745.52,41489.566
9,Arménie,9.322165,9.100914,13619.290546,4604.641377,18.62,6.31,18.62,6.31,1545.834,1274.767,1080.164,2820.602,1856.542
10,Australie,-5.397355,-6.542375,1380207.832899,54763.202388,49.21,17.07,49.21,17.07,12778.251,12578.919,3481.222,25357.17,21607.414
11,Autriche,-2.231325,-2.926932,445011.872704,49693.668783,15.56,6.44,15.56,6.44,4511.992,4367.948,3636.627,8879.94,5129.574
12,Azerbaïdjan,2.253662,1.254493,48174.235294,4794.54492,14.52,4.95,14.52,4.95,5181.658,5051.096,4403.28,10232.753,5611.295
13,Bahamas,2.543882,1.53156,13164.429143,33799.839641,53.57,18.83,53.57,18.83,210.821,193.737,67.996,404.557,335.099
14,Bahreïn,2.176909,-2.288644,38473.717598,23442.830854,42.58,15.14,42.58,15.14,560.779,933.409,173.716,1494.188,1464.18
15,Bangladesh,11.654402,10.511157,301051.101806,1846.416377,1.6,0.5,1.6,0.5,83352.043,82164.179,105200.1,165516.222,62865.82
16,Barbade,3.41701,3.278652,5297.95,18458.148245,48.93,16.14,48.93,16.14,145.957,134.222,197.584,280.18,89.426
17,Belgique,-1.469808,-1.957791,535288.71524,46388.205209,12.6,4.53,12.6,4.53,5832.685,5677.883,226.556,11510.568,11336.228
18,Belize,3.061514,1.138911,1945.250235,4983.310582,27.25,8.81,27.25,8.81,193.151,195.944,211.248,389.095,178.983
19,Bhoutan,3.420351,2.240715,2530.559003,3316.191236,4.14,1.41,4.14,1.41,360.356,407.103,482.419,767.459,343.81
20,Bolivie (État plurinational de),1.508341,0.098028,40895.322844,3552.06876,42.54,13.51,42.54,13.51,5860.919,5916.395,3439.82,11777.315,7940.041
21,Bosnie-Herzégovine,0.093877,0.789016,20202.636114,6120.156351,20.91,7.09,20.91,7.09,1708.207,1652.504,1798.985,3360.711,1702.789
22,Botswana,-1.612127,-3.731717,18362.405202,7970.842173,3.56,1.27,3.56,1.27,1266.499,1233.202,708.307,2499.702,1666.329
23,Brésil,-1.612948,-2.349607,1886014.572498,8936.360101,47.15,15.43,47.15,15.43,107663.08,104119.798,27985.169,211782.878,184407.548
24,Bulgarie,3.845581,4.609411,68913.754204,9844.65467,22.99,9.06,22.99,9.06,3631.617,3420.914,1722.907,7052.532,5265.832
25,Burkina Faso,-0.430319,-3.222746,15990.80321,786.895614,10.05,3.39,10.05,3.39,10520.378,10431.262,14229.173,20951.639,6092.387
26,Burundi,1.543848,-1.584267,3368.533752,292.139142,0.57,0.19,0.57,0.19,5980.56,5894.278,10028.767,11874.838,1547.197
27,Bélarus,7.294783,7.297121,64410.169473,6814.152439,27.73,9.32,27.73,9.32,5206.279,4467.692,1976.92,9673.971,7456.954
28,Bénin,0.906426,-1.796465,14391.686309,1219.515479,10.22,3.63,10.22,3.63,6138.319,6152.125,6153.211,12290.444,5648.384
29,Cabo Verde,0.7803,-0.350039,1981.846171,3603.782576,18.18,6.83,18.18,6.83,290.056,286.974,189.426,577.03,370.923
30,Cambodge,10.280952,8.697296,27097.96382,1643.641451,1.76,0.53,1.76,0.53,8186.482,8021.264,12558.947,16207.746,3923.699
31,Cameroun,0.809408,-1.762265,39007.353482,1507.450172,3.35,1.13,3.35,1.13,12926.852,12855.489,10892.584,25782.341,14420.409
32,Canada,1.137758,0.228098,1741496.789532,46550.335507,40.89,14.48,40.89,14.48,18881.443,18641.142,6903.53,37522.584,30376.281
33,Chili,-6.111539,-7.215677,279385.478377,14741.711597,38.71,12.81,38.71,12.81,9589.082,9450.404,2265.846,19039.485,16070.807
34,Chine,2.717516,2.27518,14700827.670843,10195.736594,15.45,5.0,15.45,5.0,711442.99,742358.552,568748.198,1453801.543,883204.937
35,Chine - RAS de Hong-Kong,1.110526,0.234543,365708.202614,49179.751067,56.15,21.3,56.15,21.3,4034.246,3461.876,0.0,7496.122,7490.776
