Code Domaine,Domaine,Code zone (M49),Zone,Code Élément,Élément,Code Produit (CPC),Produit,Code année,Année,Unité,Valeur,Symbole,Description du Symbole
"FBS","Bilans Alimentaires (2010-)","004","Afghanistan","511","Population totale","S2501","Population","2019","2019","1000 personnes","38041.75","X","Ciffre de sources internationales"
"FBS","Bilans Alimentaires (2010-)","004","Afghanistan","511","Population totale","S2501","Population","2020","2020","1000 personnes","38928.35","X","Ciffre de sources internationales"
"FBS","Bilans Alimentaires (2010-)","004","Afghanistan","5511","Production","S2731","Viande de Bovins","2019","2019","Milliers de tonnes","98","I","Valeur imputée"
"FBS","Bilans Alimentaires (2010-)","004","Afghanistan","5511","Production","S2731","Viande de Bovins","2020","2020","Milliers de tonnes","116","I","Valeur imputée"
"FBS","Bilans Alimentaires (2010-)","004","Afghanistan","5611","Importations - Quantité","S2731","Viande de Bovins","2019","2019","Milliers de tonnes","5","I","Valeur imputée"
"FBS","Bilans Alimentaires (2010-)","004","Afghanistan","5611","Importations - Quantité","S2731","Viande de Bovins","2020","2020","Milliers de tonnes","9","I","Valeur imputée"
"FBS","Bilans Alimentaires (2010-)","004","Afghanistan","5142","Nourriture","S2731","Viande de Bovins","2019","2019","Milliers de tonnes","104","I","Valeur imputée"
"FBS","Bilans Alimentaires (2010-)","004","Afghanistan","5142","Nourriture","S2731","Viande de Bovins","2020","2020","Milliers de tonnes","126","I","Valeur imputée"
"FBS","Bilans Alimentaires (2010-)","004","Afghanistan","661","Disponibilité alimentaire (Kcal)","S2731","Viande de Bovins","2019","2019","million kcal","222521.9","I","Valeur imputée"
"FBS","Bilans Alimentaires (2010-)","004","Afghanistan","661","Disponibilité alimentaire (Kcal)","S2731","Viande de Bovins","2020","2020","million kcal","268901.31","I","Valeur imputée"
"FBS","Bilans Alimentaires (2010-)","004","Afghanistan","671","Disponibilité de protéines en quantité (g)","S2731","Viande de Bovins","2019","2019","g","15674.06","I","Valeur imputée"
"FBS","Bilans Alimentaires (2010-)","004","Afghanistan","671","Disponibilité de protéines en quantité (g)","S2731","Viande de Bovins","2020","2020","g","18942.61","I","Valeur imputée"
"FBS","Bilans Alimentaires (2010-)","004","Afghanistan","5511","Production","S2732","Viande d'Ovins/Caprins","2019","2019","Milliers de tonnes","130","I","Valeur imputée"
"FBS","Bilans Alimentaires (2010-)","004","Afghanistan","5511","Production","S2732","Viande d'Ovins/Caprins","2020","2020","Milliers de tonnes","157","I","Valeur imputée"
"FBS","Bilans Alimentaires (2010-)","004","Afghanistan","5611","Importations - Quantité","S2732","Viande d'Ovins/Caprins","2019","2019","Milliers de tonnes","0","I","Valeur imputée"
"FBS","Bilans Alimentaires (2010-)","004","Afghanistan","5611","Importations - Quantité","S2732","Viande d'Ovins/Caprins","2020","2020","Milliers de tonnes","0","I","Valeur imputée"
"FBS","Bilans Alimentaires (2010-)","004","Afghanistan","5142","Nourriture","S2732","Viande d'Ovins/Caprins","2019","2019","Milliers de tonnes","130","I","Valeur imputée"
"FBS","Bilans Alimentaires (2010-)","004","Afghanistan","5142","Nourriture","S2732","Viande d'Ovins/Caprins","2020","2020","Milliers de tonnes","157","I","Valeur imputée"
"FBS","Bilans Alimentaires (2010-)","004","Afghanistan","661","Disponibilité alimentaire (Kcal)","S2732","Viande d'Ovins/Caprins","2019","2019","million kcal","293495.28","I","Valeur imputée"
"FBS","Bilans Alimentaires (2010-)","004","Afghanistan","661","Disponibilité alimentaire (Kcal)","S2732","Viande d'Ovins/Caprins","2020","2020","million kcal","364134.8","I","Valeur imputée"
"FBS","Bilans Alimentaires (2010-)","004","Afghanistan","671","Disponibilité de protéines en quantité (g)","S2732","Viande d'Ovins/Caprins","2019","2019","g","18730.08","I","Valeur imputée"
"FBS","Bilans Alimentaires (2010-)","004","Afghanistan","671","Disponibilité de protéines en quantité (g)","S2732","Viande d'Ovins/Caprins","2020","2020","g","22341.08","I","Valeur imputée"
"FBS","Bilans Alimentaires (2010-)","004","Afghanistan","5611","Importations - Quantité","S2733","Viande de porcins","2019","2019","Milliers de tonnes","0","I","Valeur imputée"
"FBS","Bilans Alimentaires (2010-)","004","Afghanistan","5611","Importations - Quantité","S2733","Viande de porcins","2020","2020","Milliers de tonnes","0","I","Valeur imputée"
"FBS","Bilans Alimentaires (2010-)","004","Afghanistan","5142","Nourriture","S2733","Viande de porcins","2019","2019","Milliers de tonnes","0","I","Valeur imputée"
"FBS","Bilans Alimentaires (2010-)","004","Afghanistan","5142","Nourriture","S2733","Viande de porcins","2020","2020","Milliers de tonnes","0","I","Valeur imputée"
"FBS","Bilans Alimentaires (2010-)","004","Afghanistan","661","Disponibilité alimentaire (Kcal)","S2733","Viande de porcins","2019","2019","million kcal","3438.97","I","Valeur imputée"
"FBS","Bilans Alimentaires (2010-)","004","Afghanistan","661","Disponibilité alimentaire (Kcal)","S2733","Viande de porcins","2020","2020","million kcal","6251.4","I","Valeur imputée"
"FBS","Bilans Alimentaires (2010-)","004","Afghanistan","671","Disponibilité de protéines en quantité (g)","S2733","Viande de porcins","2019","2019","g","123.66","I","Valeur imputée"
"FBS","Bilans Alimentaires (2010-)","004","Afghanistan","671","Disponibilité de protéines en quantité (g)","S2733","Viande de porcins","2020","2020","g","185.05","I","Valeur imputée"
"FBS","Bilans Alimentaires (2010-)","004","Afghanistan","5511","Production","S2734","Viande de Volailles","2019","2019","Milliers de tonnes","28","I","Valeur imputée"
