Code Domaine,Domaine,Code zone (M49),Zone,Code Élément,Élément,Code Produit,Produit,Code année,Année,Unité,Valeur,Symbole,Description du Symbole,Note
"MK","Indicateurs macro","004","Afghanistan","6110","Valeur US $","22008","Produit Intérieur Brut","2018","2018","millions","18418.8483","X","Ciffre de sources internationales",""
"MK","Indicateurs macro","004","Afghanistan","6129","Croissance annuelle US$","22008","Produit Intérieur Brut","2018","2018","%","-2.526962","E","Valeur estimée",""
"MK","Indicateurs macro","004","Afghanistan","6110","Valeur US $","22008","Produit Intérieur Brut","2019","2019","millions","18904.490263","X","Ciffre de sources internationales",""
"MK","Indicateurs macro","004","Afghanistan","6129","Croissance annuelle US$","22008","Produit Intérieur Brut","2019","2019","%","2.636658","E","Valeur estimée",""
"MK","Indicateurs macro","004","Afghanistan","6110","Valeur US $","22008","Produit Intérieur Brut","2020","2020","millions","19793.262413","X","Ciffre de sources internationales",""
"MK","Indicateurs macro","004","Afghanistan","6129","Croissance annuelle US$","22008","Produit Intérieur Brut","2020","2020","%","4.701381","E","Valeur estimée",""
"MK","Indicateurs macro","004","Afghanistan","6110","Valeur US $","22011","Revenu national brut","2018","2018","millions","18610.25735","X","Ciffre de sources internationales",""
"MK","Indicateurs macro","004","Afghanistan","6129","Croissance annuelle US$","22011","Revenu national brut","2018","2018","%","-2.793206","E","Valeur estimée",""
"MK","Indicateurs macro","004","Afghanistan","6110","Valeur US $","22011","Revenu national brut","2019","2019","millions","19205.244293","X","Ciffre de sources internationales",""
"MK","Indicateurs macro","004","Afghanistan","6129","Croissance annuelle US$","22011","Revenu national brut","2019","2019","%","3.197091","E","Valeur estimée",""
"MK","Indicateurs macro","004","Afghanistan","6110","Valeur US $","22011","Revenu national brut","2020","2020","millions","19982.204387","X","Ciffre de sources internationales",""
"MK","Indicateurs macro","004","Afghanistan","6129","Croissance annuelle US$","22011","Revenu national brut","2020","2020","%","4.045562","E","Valeur estimée",""
"MK","Indicateurs macro","710","Afrique du Sud","6110","Valeur US $","22008","Produit Intérieur Brut","2018","2018","millions","368093.93237","X","Ciffre de sources internationales",""
"MK","Indicateurs macro","710","Afrique du Sud","6129","Croissance annuelle US$","22008","Produit Intérieur Brut","2018","2018","%","5.469019","E","Valeur estimée",""
"MK","Indicateurs macro","710","Afrique du Sud","6110","Valeur US $","22008","Produit Intérieur Brut","2019","2019","millions","351430.991183","X","Ciffre de sources internationales",""
"MK","Indicateurs macro","710","Afrique du Sud","6129","Croissance annuelle US$","22008","Produit Intérieur Brut","2019","2019","%","-4.526818","E","Valeur estimée",""
