Country;Indicator;Percentile;Year;Value
Afghanistan;"agdpro_pall_992_i_AF
Produit domestique brut
Population totale | Revenu ou capital moyen | adultes | individus |  | ppp | constant (2022)
";pall;2019;3768.6449
Afghanistan;"anninc_pall_992_i_AF
Revenu national
Population totale | Revenu ou capital moyen | adultes | individus |  | ppp | constant (2022)
";pall;2019;3525.3261
Afghanistan;"sptinc_p90p100_z_AF
Revenu national avant impôt
10% les plus aisés | Part du total
";p90p100;2019;0.4101
Afghanistan;"sptinc_p0p50_z_AF
Revenu national avant impôt
50% du bas | Part du total | adultes | partage égalitaire
";p0p50;2019;0.1779
Afghanistan;"sptinc_p99p100_z_AF
Revenu national avant impôt
1% les plus aisés | Part du total
";p99p100;2019;0.1508
Africa;"agdpro_pall_992_i_QB
Produit domestique brut
Population totale | Revenu ou capital moyen | adultes | individus |  | ppp | constant (2022)
";pall;2019;8366.7
Africa;"anninc_pall_992_i_QB
Revenu national
Population totale | Revenu ou capital moyen | adultes | individus |  | ppp | constant (2022)
";pall;2019;7438.6
Africa;"sptinc_p90p100_z_QB
Revenu national avant impôt
10% les plus aisés | Part du total
";p90p100;2019;0.5413
Africa;"sptinc_p0p50_z_QB
Revenu national avant impôt
50% du bas | Part du total | adultes | partage égalitaire
";p0p50;2019;0.0881
Africa;"sptinc_p99p100_z_QB
Revenu national avant impôt
1% les plus aisés | Part du total
";p99p100;2019;0.1951
Africa (at market exchange rate);"agdpro_pall_992_i_QB-MER
Produit domestique brut
Population totale | Revenu ou capital moyen | adultes | individus |  | ppp | constant (2022)
";pall;2019;
Africa (at market exchange rate);"anninc_pall_992_i_QB-MER
Revenu national
Population totale | Revenu ou capital moyen | adultes | individus |  | ppp | constant (2022)
";pall;2019;
Africa (at market exchange rate);"sptinc_p90p100_z_QB-MER
Revenu national avant impôt
10% les plus aisés | Part du total
";p90p100;2019;0.6961
Africa (at market exchange rate);"sptinc_p0p50_z_QB-MER
Revenu national avant impôt
50% du bas | Part du total | adultes | partage égalitaire
";p0p50;2019;0.0582
Africa (at market exchange rate);"sptinc_p99p100_z_QB-MER
Revenu national avant impôt
1% les plus aisés | Part du total
";p99p100;2019;0.3876
Afrique du Sud;"agdpro_pall_992_i_ZA
Produit domestique brut
Population totale | Revenu ou capital moyen | adultes | individus |  | ppp | constant (2022)
";pall;2019;18839.5988
Afrique du Sud;"anninc_pall_992_i_ZA
Revenu national
Population totale | Revenu ou capital moyen | adultes | individus |  | ppp | constant (2022)
";pall;2019;15501.8995
Afrique du Sud;"sptinc_p90p100_z_ZA
Revenu national avant impôt
10% les plus aisés | Part du total
";p90p100;2019;0.6541
Afrique du Sud;"sptinc_p0p50_z_ZA
Revenu national avant impôt
50% du bas | Part du total | adultes | partage égalitaire
";p0p50;2019;0.058
Afrique du Sud;"sptinc_p99p100_z_ZA
Revenu national avant impôt
1% les plus aisés | Part du total
";p99p100;2019;0.1931
Alabama;"agdpro_pall_992_i_US-AL
Produit domestique brut
Population totale | Revenu ou capital moyen | adultes | individus |  | ppp | constant (2022)
";pall;2019;
Alabama;"anninc_pall_992_i_US-AL
Revenu national
Population totale | Revenu ou capital moyen | adultes | individus |  | ppp | constant (2022)
";pall;2019;
Alabama;"sptinc_p90p100_z_US-AL
Revenu national avant impôt
10% les plus aisés | Part du total
";p90p100;2019;
Alabama;"sptinc_p0p50_z_US-AL
Revenu national avant impôt
50% du bas | Part du total | adultes | partage égalitaire
";p0p50;2019;
Alabama;"sptinc_p99p100_z_US-AL
Revenu national avant impôt
1% les plus aisés | Part du total
";p99p100;2019;
Alaska;"agdpro_pall_992_i_US-AK
Produit domestique brut
Population totale | Revenu ou capital moyen | adultes | individus |  | ppp | constant (2022)
";pall;2019;
Alaska;"anninc_pall_992_i_US-AK
Revenu national
Population totale | Revenu ou capital moyen | adultes | individus |  | ppp | constant (2022)
";pall;2019;
Alaska;"sptinc_p90p100_z_US-AK
Revenu national avant impôt
10% les plus aisés | Part du total
";p90p100;2019;
Alaska;"sptinc_p0p50_z_US-AK
Revenu national avant impôt
50% du bas | Part du total | adultes | partage égalitaire
";p0p50;2019;
Alaska;"sptinc_p99p100_z_US-AK
Revenu national avant impôt
1% les plus aisés | Part du total
";p99p100;2019;
Albanie;"agdpro_pall_992_i_AL
Produit domestique brut
Population totale | Revenu ou capital moyen | adultes | individus |  | ppp | constant (2022)
";pall;2019;14704.0295
Albanie;"anninc_pall_992_i_AL
Revenu national
Population totale | Revenu ou capital moyen | adultes | individus |  | ppp | constant (2022)
";pall;2019;12460.1298
Albanie;"sptinc_p90p100_z_AL
Revenu national avant impôt
10% les plus aisés | Part du total
";p90p100;2019;0.3449
Albanie;"sptinc_p0p50_z_AL
Revenu national avant impôt
50% du bas | Part du total | adultes | partage égalitaire
";p0p50;2019;0.183
Albanie;"sptinc_p99p100_z_AL
Revenu national avant impôt
1% les plus aisés | Part du total
";p99p100;2019;0.0933
Algérie;"agdpro_pall_992_i_DZ
Produit domestique brut
Population totale | Revenu ou capital moyen | adultes | individus |  | ppp | constant (2022)
";pall;2019;14951.7098
Algérie;"anninc_pall_992_i_DZ
Revenu national
Population totale | Revenu ou capital moyen | adultes | individus |  | ppp | constant (2022)
";pall;2019;12956.7691
Algérie;"sptinc_p90p100_z_DZ
Revenu national avant impôt
10% les plus aisés | Part du total
";p90p100;2019;0.3808
Algérie;"sptinc_p0p50_z_DZ
Revenu national avant impôt
50% du bas | Part du total | adultes | partage égalitaire
";p0p50;2019;0.1902
Algérie;"sptinc_p99p100_z_DZ
Revenu national avant impôt
1% les plus aisés | Part du total
";p99p100;2019;0.0991
Allemagne;"agdpro_pall_992_i_DE
Produit domestique brut
Population totale | Revenu ou capital moyen | adultes | individus |  | ppp | constant (2022)
";pall;2019;50590.0051
Allemagne;"anninc_pall_992_i_DE
Revenu national
Population totale | Revenu ou capital moyen | adultes | individus |  | ppp | constant (2022)
";pall;2019;43387.228
Allemagne;"sptinc_p90p100_z_DE
Revenu national avant impôt
10% les plus aisés | Part du total
";p90p100;2019;0.3745
Allemagne;"sptinc_p0p50_z_DE
Revenu national avant impôt
50% du bas | Part du total | adultes | partage égalitaire
";p0p50;2019;0.188
Allemagne;"sptinc_p99p100_z_DE
Revenu national avant impôt
1% les plus aisés | Part du total
";p99p100;2019;0.1305
Americas;"agdpro_pall_992_i_QC
Produit domestique brut
Population totale | Revenu ou capital moyen | adultes | individus |  | ppp | constant (2022)
";pall;2019;36839.9
