Series Name,Series Code,Country Name,Country Code,2019 [YR2019]
Agricultural land (% of land area),AG.LND.AGRI.ZS,Afghanistan,AFG,58.2769881790166
Agricultural land (% of land area),AG.LND.AGRI.ZS,Albania,ALB,42.8467153284672
Agricultural land (% of land area),AG.LND.AGRI.ZS,Algeria,DZA,17.3649641165853
Agricultural land (% of land area),AG.LND.AGRI.ZS,American Samoa,ASM,20.05
Agricultural land (% of land area),AG.LND.AGRI.ZS,Andorra,AND,40
Agricultural land (% of land area),AG.LND.AGRI.ZS,Angola,AGO,45.6825940482875
Agricultural land (% of land area),AG.LND.AGRI.ZS,Antigua and Barbuda,ATG,20.4545454545455
Agricultural land (% of land area),AG.LND.AGRI.ZS,Argentina,ARG,39.6032286082823
Agricultural land (% of land area),AG.LND.AGRI.ZS,Armenia,ARM,58.9041095890411
Agricultural land (% of land area),AG.LND.AGRI.ZS,Aruba,ABW,11.1111111111111
Agricultural land (% of land area),AG.LND.AGRI.ZS,Australia,AUS,47.1237724290889
Agricultural land (% of land area),AG.LND.AGRI.ZS,Austria,AUT,32.1280901599612
Agricultural land (% of land area),AG.LND.AGRI.ZS,Azerbaijan,AZE,57.8278123260822
Agricultural land (% of land area),AG.LND.AGRI.ZS,"Bahamas, The",BHS,1.3986013986014
Agricultural land (% of land area),AG.LND.AGRI.ZS,Bahrain,BHR,10.9833971902937
Agricultural land (% of land area),AG.LND.AGRI.ZS,Bangladesh,BGD,75.6318660213567
Agricultural land (% of land area),AG.LND.AGRI.ZS,Barbados,BRB,23.2558139534884
Agricultural land (% of land area),AG.LND.AGRI.ZS,Belarus,BLR,41.3223954869066
Agricultural land (% of land area),AG.LND.AGRI.ZS,Belgium,BEL,44.7959907529723
Agricultural land (% of land area),AG.LND.AGRI.ZS,Belize,BLZ,7.54055238930294
Agricultural land (% of land area),AG.LND.AGRI.ZS,Benin,BEN,35.0301525363604
Agricultural land (% of land area),AG.LND.AGRI.ZS,Bermuda,BMU,5.55555555555556
Agricultural land (% of land area),AG.LND.AGRI.ZS,Bhutan,BTN,13.4504457262716
Agricultural land (% of land area),AG.LND.AGRI.ZS,Bolivia,BOL,34.8813809655682
Agricultural land (% of land area),AG.LND.AGRI.ZS,Bosnia and Herzegovina,BIH,43.28125
Agricultural land (% of land area),AG.LND.AGRI.ZS,Botswana,BWA,45.63372328975
Agricultural land (% of land area),AG.LND.AGRI.ZS,Brazil,BRA,28.3410903622098
Agricultural land (% of land area),AG.LND.AGRI.ZS,British Virgin Islands,VGB,46.6666666666667
