Series Name,Series Code,Country Name,Country Code,2019 [YR2019]
CO2 emissions (kt),EN.ATM.CO2E.KT,Afghanistan,AFG,11238.83
CO2 emissions (kt),EN.ATM.CO2E.KT,Albania,ALB,4993.3
CO2 emissions (kt),EN.ATM.CO2E.KT,Algeria,DZA,170582.4
CO2 emissions (kt),EN.ATM.CO2E.KT,American Samoa,ASM,..
CO2 emissions (kt),EN.ATM.CO2E.KT,Andorra,AND,479.984
CO2 emissions (kt),EN.ATM.CO2E.KT,Angola,AGO,24382.9
CO2 emissions (kt),EN.ATM.CO2E.KT,Antigua and Barbuda,ATG,509
CO2 emissions (kt),EN.ATM.CO2E.KT,Argentina,ARG,168162
CO2 emissions (kt),EN.ATM.CO2E.KT,Armenia,ARM,6195.6
CO2 emissions (kt),EN.ATM.CO2E.KT,Aruba,ABW,..
CO2 emissions (kt),EN.ATM.CO2E.KT,Australia,AUS,395199.1
CO2 emissions (kt),EN.ATM.CO2E.KT,Austria,AUT,64497.8
CO2 emissions (kt),EN.ATM.CO2E.KT,Azerbaijan,AZE,35521
CO2 emissions (kt),EN.ATM.CO2E.KT,"Bahamas, The",BHS,2622.7
CO2 emissions (kt),EN.ATM.CO2E.KT,Bahrain,BHR,32966.8
CO2 emissions (kt),EN.ATM.CO2E.KT,Bangladesh,BGD,92645
CO2 emissions (kt),EN.ATM.CO2E.KT,Barbados,BRB,1167.27
CO2 emissions (kt),EN.ATM.CO2E.KT,Belarus,BLR,57681.2
CO2 emissions (kt),EN.ATM.CO2E.KT,Belgium,BEL,92989.4
CO2 emissions (kt),EN.ATM.CO2E.KT,Belize,BLZ,736.2
CO2 emissions (kt),EN.ATM.CO2E.KT,Benin,BEN,7475.5
CO2 emissions (kt),EN.ATM.CO2E.KT,Bermuda,BMU,..
CO2 emissions (kt),EN.ATM.CO2E.KT,Bhutan,BTN,1433
CO2 emissions (kt),EN.ATM.CO2E.KT,Bolivia,BOL,21828.8
CO2 emissions (kt),EN.ATM.CO2E.KT,Bosnia and Herzegovina,BIH,21124.3
CO2 emissions (kt),EN.ATM.CO2E.KT,Botswana,BWA,7198.3
