Series Name,Series Code,Country Name,Country Code,2019 [YR2019]
Container port traffic (TEU: 20 foot equivalent units),IS.SHP.GOOD.TU,Afghanistan,AFG,..
Container port traffic (TEU: 20 foot equivalent units),IS.SHP.GOOD.TU,Albania,ALB,145762
Container port traffic (TEU: 20 foot equivalent units),IS.SHP.GOOD.TU,Algeria,DZA,1793990
Container port traffic (TEU: 20 foot equivalent units),IS.SHP.GOOD.TU,American Samoa,ASM,76200
Container port traffic (TEU: 20 foot equivalent units),IS.SHP.GOOD.TU,Andorra,AND,..
Container port traffic (TEU: 20 foot equivalent units),IS.SHP.GOOD.TU,Angola,AGO,672212
Container port traffic (TEU: 20 foot equivalent units),IS.SHP.GOOD.TU,Antigua and Barbuda,ATG,27657
Container port traffic (TEU: 20 foot equivalent units),IS.SHP.GOOD.TU,Argentina,ARG,1833964
Container port traffic (TEU: 20 foot equivalent units),IS.SHP.GOOD.TU,Armenia,ARM,..
Container port traffic (TEU: 20 foot equivalent units),IS.SHP.GOOD.TU,Aruba,ABW,63870
Container port traffic (TEU: 20 foot equivalent units),IS.SHP.GOOD.TU,Australia,AUS,8775819
Container port traffic (TEU: 20 foot equivalent units),IS.SHP.GOOD.TU,Austria,AUT,..
Container port traffic (TEU: 20 foot equivalent units),IS.SHP.GOOD.TU,Azerbaijan,AZE,..
Container port traffic (TEU: 20 foot equivalent units),IS.SHP.GOOD.TU,"Bahamas, The",BHS,1555798
Container port traffic (TEU: 20 foot equivalent units),IS.SHP.GOOD.TU,Bahrain,BHR,418933
Container port traffic (TEU: 20 foot equivalent units),IS.SHP.GOOD.TU,Bangladesh,BGD,3145919
Container port traffic (TEU: 20 foot equivalent units),IS.SHP.GOOD.TU,Barbados,BRB,98435
Container port traffic (TEU: 20 foot equivalent units),IS.SHP.GOOD.TU,Belarus,BLR,..
Container port traffic (TEU: 20 foot equivalent units),IS.SHP.GOOD.TU,Belgium,BEL,12389876
Container port traffic (TEU: 20 foot equivalent units),IS.SHP.GOOD.TU,Belize,BLZ,20259
Container port traffic (TEU: 20 foot equivalent units),IS.SHP.GOOD.TU,Benin,BEN,510895.6
Container port traffic (TEU: 20 foot equivalent units),IS.SHP.GOOD.TU,Bermuda,BMU,4006
Container port traffic (TEU: 20 foot equivalent units),IS.SHP.GOOD.TU,Bhutan,BTN,..
Container port traffic (TEU: 20 foot equivalent units),IS.SHP.GOOD.TU,Bolivia,BOL,..
Container port traffic (TEU: 20 foot equivalent units),IS.SHP.GOOD.TU,Bosnia and Herzegovina,BIH,..
Container port traffic (TEU: 20 foot equivalent units),IS.SHP.GOOD.TU,Botswana,BWA,..
Container port traffic (TEU: 20 foot equivalent units),IS.SHP.GOOD.TU,Brazil,BRA,10704669
Container port traffic (TEU: 20 foot equivalent units),IS.SHP.GOOD.TU,British Virgin Islands,VGB,45955.97
Container port traffic (TEU: 20 foot equivalent units),IS.SHP.GOOD.TU,Brunei Darussalam,BRN,117901
Container port traffic (TEU: 20 foot equivalent units),IS.SHP.GOOD.TU,Bulgaria,BGR,261934
Container port traffic (TEU: 20 foot equivalent units),IS.SHP.GOOD.TU,Burkina Faso,BFA,..
Container port traffic (TEU: 20 foot equivalent units),IS.SHP.GOOD.TU,Burundi,BDI,..
Container port traffic (TEU: 20 foot equivalent units),IS.SHP.GOOD.TU,Cabo Verde,CPV,91683
Container port traffic (TEU: 20 foot equivalent units),IS.SHP.GOOD.TU,Cambodia,KHM,633236
Container port traffic (TEU: 20 foot equivalent units),IS.SHP.GOOD.TU,Cameroon,CMR,370685
Container port traffic (TEU: 20 foot equivalent units),IS.SHP.GOOD.TU,Canada,CAN,7000133
Container port traffic (TEU: 20 foot equivalent units),IS.SHP.GOOD.TU,Cayman Islands,CYM,..
Container port traffic (TEU: 20 foot equivalent units),IS.SHP.GOOD.TU,Central African Republic,CAF,..
Container port traffic (TEU: 20 foot equivalent units),IS.SHP.GOOD.TU,Chad,TCD,..
Container port traffic (TEU: 20 foot equivalent units),IS.SHP.GOOD.TU,Channel Islands,CHI,..
Container port traffic (TEU: 20 foot equivalent units),IS.SHP.GOOD.TU,Chile,CHL,4647086
Container port traffic (TEU: 20 foot equivalent units),IS.SHP.GOOD.TU,China,CHN,243560000
Container port traffic (TEU: 20 foot equivalent units),IS.SHP.GOOD.TU,Colombia,COL,4316862
Container port traffic (TEU: 20 foot equivalent units),IS.SHP.GOOD.TU,Comoros,COM,54358.54
Container port traffic (TEU: 20 foot equivalent units),IS.SHP.GOOD.TU,"Congo, Dem. Rep.",COD,42211
Container port traffic (TEU: 20 foot equivalent units),IS.SHP.GOOD.TU,"Congo, Rep.",COG,921000
Container port traffic (TEU: 20 foot equivalent units),IS.SHP.GOOD.TU,Costa Rica,CRI,1300785
Container port traffic (TEU: 20 foot equivalent units),IS.SHP.GOOD.TU,Cote d'Ivoire,CIV,994646
Container port traffic (TEU: 20 foot equivalent units),IS.SHP.GOOD.TU,Croatia,HRV,348435
Container port traffic (TEU: 20 foot equivalent units),IS.SHP.GOOD.TU,Cuba,CUB,322000
Container port traffic (TEU: 20 foot equivalent units),IS.SHP.GOOD.TU,Curacao,CUW,..
