Series Name,Series Code,Country Name,Country Code,2019 [YR2019]
Population density (people per sq. km of land area),EN.POP.DNST,Afghanistan,AFG,57.9082516903546
Population density (people per sq. km of land area),EN.POP.DNST,Albania,ALB,104.167554744526
Population density (people per sq. km of land area),EN.POP.DNST,Algeria,DZA,17.9303156808402
Population density (people per sq. km of land area),EN.POP.DNST,American Samoa,ASM,236.605
Population density (people per sq. km of land area),EN.POP.DNST,Andorra,AND,162.431914893617
Population density (people per sq. km of land area),EN.POP.DNST,Angola,AGO,25.9513820486083
Population density (people per sq. km of land area),EN.POP.DNST,Antigua and Barbuda,ATG,209.356818181818
Population density (people per sq. km of land area),EN.POP.DNST,Argentina,ARG,16.4208266190179
Population density (people per sq. km of land area),EN.POP.DNST,Armenia,ARM,99.0727783631893
Population density (people per sq. km of land area),EN.POP.DNST,Aruba,ABW,591.344444444444
Population density (people per sq. km of land area),EN.POP.DNST,Australia,AUS,3.29435141874306
Population density (people per sq. km of land area),EN.POP.DNST,Austria,AUT,107.609306834707
Population density (people per sq. km of land area),EN.POP.DNST,Azerbaijan,AZE,121.280071139933
Population density (people per sq. km of land area),EN.POP.DNST,"Bahamas, The",BHS,40.4152847152847
Population density (people per sq. km of land area),EN.POP.DNST,Bahrain,BHR,1908.28607918263
Population density (people per sq. km of land area),EN.POP.DNST,Bangladesh,BGD,1271.53892601982
Population density (people per sq. km of land area),EN.POP.DNST,Barbados,BRB,651.581395348837
Population density (people per sq. km of land area),EN.POP.DNST,Belarus,BLR,46.4107506220284
Population density (people per sq. km of land area),EN.POP.DNST,Belgium,BEL,379.424702774108
Population density (people per sq. km of land area),EN.POP.DNST,Belize,BLZ,17.0580885576502
Population density (people per sq. km of land area),EN.POP.DNST,Benin,BEN,108.996488116353
Population density (people per sq. km of land area),EN.POP.DNST,Bermuda,BMU,1183.53703703704
Population density (people per sq. km of land area),EN.POP.DNST,Bhutan,BTN,20.1221552176193
Population density (people per sq. km of land area),EN.POP.DNST,Bolivia,BOL,10.8717022062217
Population density (people per sq. km of land area),EN.POP.DNST,Bosnia and Herzegovina,BIH,65.63888671875
Population density (people per sq. km of land area),EN.POP.DNST,Botswana,BWA,4.41074585781589
Population density (people per sq. km of land area),EN.POP.DNST,Brazil,BRA,25.3385176606278
Population density (people per sq. km of land area),EN.POP.DNST,British Virgin Islands,VGB,204.066666666667
Population density (people per sq. km of land area),EN.POP.DNST,Brunei Darussalam,BRN,83.1210626185958
Population density (people per sq. km of land area),EN.POP.DNST,Bulgaria,BGR,64.2571941783346
Population density (people per sq. km of land area),EN.POP.DNST,Burkina Faso,BFA,76.5776279239766
Population density (people per sq. km of land area),EN.POP.DNST,Burundi,BDI,462.415809968847
Population density (people per sq. km of land area),EN.POP.DNST,Cabo Verde,CPV,143.183622828784
Population density (people per sq. km of land area),EN.POP.DNST,Cambodia,KHM,91.8181849082257
Population density (people per sq. km of land area),EN.POP.DNST,Cameroon,CMR,54.5415603647056
Population density (people per sq. km of land area),EN.POP.DNST,Canada,CAN,4.19394931064213
Population density (people per sq. km of land area),EN.POP.DNST,Cayman Islands,CYM,275.558333333333
Population density (people per sq. km of land area),EN.POP.DNST,Central African Republic,CAF,8.36194420366625
Population density (people per sq. km of land area),EN.POP.DNST,Chad,TCD,12.8072315756036
Population density (people per sq. km of land area),EN.POP.DNST,Channel Islands,CHI,..
Population density (people per sq. km of land area),EN.POP.DNST,Chile,CHL,25.6068131566631
Population density (people per sq. km of land area),EN.POP.DNST,China,CHN,149.367573167744
Population density (people per sq. km of land area),EN.POP.DNST,Colombia,COL,45.2342550698513
Population density (people per sq. km of land area),EN.POP.DNST,Comoros,COM,425.032778076303
Population density (people per sq. km of land area),EN.POP.DNST,"Congo, Dem. Rep.",COD,39.658097527624
Population density (people per sq. km of land area),EN.POP.DNST,"Congo, Rep.",COG,16.312541727672
Population density (people per sq. km of land area),EN.POP.DNST,Costa Rica,CRI,99.57955346651
Population density (people per sq. km of land area),EN.POP.DNST,Cote d'Ivoire,CIV,82.2250031446541
Population density (people per sq. km of land area),EN.POP.DNST,Croatia,HRV,72.6405010363805
Population density (people per sq. km of land area),EN.POP.DNST,Cuba,CUB,109.024055876686
Population density (people per sq. km of land area),EN.POP.DNST,Curacao,CUW,354.596846846847
Population density (people per sq. km of land area),EN.POP.DNST,Cyprus,CYP,132.990909090909
Population density (people per sq. km of land area),EN.POP.DNST,Czechia,CZE,138.226810266108
Population density (people per sq. km of land area),EN.POP.DNST,Denmark,DNK,145.36055
Population density (people per sq. km of land area),EN.POP.DNST,Djibouti,DJI,46.3327868852459
Population density (people per sq. km of land area),EN.POP.DNST,Dominica,DMA,95.2373333333333
Population density (people per sq. km of land area),EN.POP.DNST,Dominican Republic,DOM,225.251128130822
Population density (people per sq. km of land area),EN.POP.DNST,Ecuador,ECU,69.8330649057819
Population density (people per sq. km of land area),EN.POP.DNST,"Egypt, Arab Rep.",EGY,106.101432517957
Population density (people per sq. km of land area),EN.POP.DNST,El Salvador,SLV,303.099276061776
Population density (people per sq. km of land area),EN.POP.DNST,Equatorial Guinea,GNQ,55.3665240641711
Population density (people per sq. km of land area),EN.POP.DNST,Eritrea,ERI,28.8966156462492
Population density (people per sq. km of land area),EN.POP.DNST,Estonia,EST,31.0385497076023
Population density (people per sq. km of land area),EN.POP.DNST,Eswatini,SWZ,68.0007558139535
Population density (people per sq. km of land area),EN.POP.DNST,Ethiopia,ETH,101.119564793866
Population density (people per sq. km of land area),EN.POP.DNST,Faroe Islands,FRO,37.0207736389685
Population density (people per sq. km of land area),EN.POP.DNST,Fiji,FJI,50.2717569786535
Population density (people per sq. km of land area),EN.POP.DNST,Finland,FIN,18.1673609054717
Population density (people per sq. km of land area),EN.POP.DNST,France,FRA,123.070294051578
Population density (people per sq. km of land area),EN.POP.DNST,French Polynesia,PYF,86.348890809565
Population density (people per sq. km of land area),EN.POP.DNST,Gabon,GAB,8.70409826522296
Population density (people per sq. km of land area),EN.POP.DNST,"Gambia, The",GMB,247.913339920949
Population density (people per sq. km of land area),EN.POP.DNST,Georgia,GEO,65.0855698239966
Population density (people per sq. km of land area),EN.POP.DNST,Germany,DEU,237.822954291766
Population density (people per sq. km of land area),EN.POP.DNST,Ghana,GHA,138.535158653424
Population density (people per sq. km of land area),EN.POP.DNST,Gibraltar,GIB,3268.5
Population density (people per sq. km of land area),EN.POP.DNST,Greece,GRC,83.1775174553918
Population density (people per sq. km of land area),EN.POP.DNST,Greenland,GRL,0.136983798270191
Population density (people per sq. km of land area),EN.POP.DNST,Grenada,GRD,360.952941176471
Population density (people per sq. km of land area),EN.POP.DNST,Guam,GUM,312.266666666667
Population density (people per sq. km of land area),EN.POP.DNST,Guatemala,GTM,154.946117954461
Population density (people per sq. km of land area),EN.POP.DNST,Guinea,GIN,52.4073701774377
Population density (people per sq. km of land area),EN.POP.DNST,Guinea-Bissau,GNB,70.0731507823613
Population density (people per sq. km of land area),EN.POP.DNST,Guyana,GUY,4.05767335534671
Population density (people per sq. km of land area),EN.POP.DNST,Haiti,HTI,404.950580551524
Population density (people per sq. km of land area),EN.POP.DNST,Honduras,HND,89.0055322191438
Population density (people per sq. km of land area),EN.POP.DNST,"Hong Kong SAR, China",HKG,7150.38095238095
Population density (people per sq. km of land area),EN.POP.DNST,Hungary,HUN,107.069263642341
Population density (people per sq. km of land area),EN.POP.DNST,Iceland,ISL,3.5759496181692
Population density (people per sq. km of land area),EN.POP.DNST,India,IND,465.194639427685
Population density (people per sq. km of land area),EN.POP.DNST,Indonesia,IDN,143.584633764026
Population density (people per sq. km of land area),EN.POP.DNST,"Iran, Islamic Rep.",IRN,53.3523587057011
Population density (people per sq. km of land area),EN.POP.DNST,Iraq,IRQ,95.7402425091217
Population density (people per sq. km of land area),EN.POP.DNST,Ireland,IRL,71.6263608651473
Population density (people per sq. km of land area),EN.POP.DNST,Isle of Man,IMN,147.250877192982
Population density (people per sq. km of land area),EN.POP.DNST,Israel,ISR,418.391866913124
Population density (people per sq. km of land area),EN.POP.DNST,Italy,ITA,201.980545589195
Population density (people per sq. km of land area),EN.POP.DNST,Jamaica,JAM,259.812834718375
Population density (people per sq. km of land area),EN.POP.DNST,Japan,JPN,347.415637860082
Population density (people per sq. km of land area),EN.POP.DNST,Jordan,JOR,120.488805549925
Population density (people per sq. km of land area),EN.POP.DNST,Kazakhstan,KAZ,6.85767789013594
Population density (people per sq. km of land area),EN.POP.DNST,Kenya,KEN,89.5235794356397
Population density (people per sq. km of land area),EN.POP.DNST,Kiribati,KIR,153.383950617284
Population density (people per sq. km of land area),EN.POP.DNST,"Korea, Dem. People's Rep.",PRK,213.897857320821
Population density (people per sq. km of land area),EN.POP.DNST,"Korea, Rep.",KOR,530.377274590164
Population density (people per sq. km of land area),EN.POP.DNST,Kosovo,XKX,..
Population density (people per sq. km of land area),EN.POP.DNST,Kuwait,KWT,249.219977553311
Population density (people per sq. km of land area),EN.POP.DNST,Kyrgyz Republic,KGZ,33.6611053180396
Population density (people per sq. km of land area),EN.POP.DNST,Lao PDR,LAO,31.2480632582322
Population density (people per sq. km of land area),EN.POP.DNST,Latvia,LVA,30.755491989008
Population density (people per sq. km of land area),EN.POP.DNST,Lebanon,LBN,565.191300097752
Population density (people per sq. km of land area),EN.POP.DNST,Lesotho,LSO,73.3103425559947
Population density (people per sq. km of land area),EN.POP.DNST,Liberia,LBR,51.7575685215947
Population density (people per sq. km of land area),EN.POP.DNST,Libya,LBY,3.73341214180979
Population density (people per sq. km of land area),EN.POP.DNST,Liechtenstein,LIE,240.5125
Population density (people per sq. km of land area),EN.POP.DNST,Lithuania,LTU,44.6205206004471
Population density (people per sq. km of land area),EN.POP.DNST,Luxembourg,LUX,240.827591028798
Population density (people per sq. km of land area),EN.POP.DNST,"Macao SAR, China",MAC,20171.8237082067
Population density (people per sq. km of land area),EN.POP.DNST,Madagascar,MDG,47.3240529391543
Population density (people per sq. km of land area),EN.POP.DNST,Malawi,MWI,200.12024819686
Population density (people per sq. km of land area),EN.POP.DNST,Malaysia,MYS,99.8448333586973
Population density (people per sq. km of land area),EN.POP.DNST,Maldives,MDV,1681.69333333333
Population density (people per sq. km of land area),EN.POP.DNST,Mali,MLI,16.8559191601308
Population density (people per sq. km of land area),EN.POP.DNST,Malta,MLT,1575.19375
Population density (people per sq. km of land area),EN.POP.DNST,Marshall Islands,MHL,248.488888888889
Population density (people per sq. km of land area),EN.POP.DNST,Mauritania,MRT,4.25327350344426
Population density (people per sq. km of land area),EN.POP.DNST,Mauritius,MUS,623.637931034483
Population density (people per sq. km of land area),EN.POP.DNST,Mexico,MEX,64.3459507703387
Population density (people per sq. km of land area),EN.POP.DNST,"Micronesia, Fed. Sts.",FSM,159.112857142857
Population density (people per sq. km of land area),EN.POP.DNST,Moldova,MDA,92.756093569939
Population density (people per sq. km of land area),EN.POP.DNST,Monaco,MCO,18270.350271337
Population density (people per sq. km of land area),EN.POP.DNST,Mongolia,MNG,2.07571898811886
Population density (people per sq. km of land area),EN.POP.DNST,Montenegro,MNE,46.2474349442379
Population density (people per sq. km of land area),EN.POP.DNST,Morocco,MAR,81.3453013667936
Population density (people per sq. km of land area),EN.POP.DNST,Mozambique,MOZ,38.5126719906407
Population density (people per sq. km of land area),EN.POP.DNST,Myanmar,MMR,81.2627730963689
Population density (people per sq. km of land area),EN.POP.DNST,Namibia,NAM,2.97178879860074
Population density (people per sq. km of land area),EN.POP.DNST,Nauru,NRU,606.6
Population density (people per sq. km of land area),EN.POP.DNST,Nepal,NPL,201.133561213812
Population density (people per sq. km of land area),EN.POP.DNST,Netherlands,NLD,515.143272943273
Population density (people per sq. km of land area),EN.POP.DNST,New Caledonia,NCL,14.8380743982495
Population density (people per sq. km of land area),EN.POP.DNST,New Zealand,NZL,18.9100300026585
Population density (people per sq. km of land area),EN.POP.DNST,Nicaragua,NIC,55.3758018946319
Population density (people per sq. km of land area),EN.POP.DNST,Niger,NER,18.507454803821
Population density (people per sq. km of land area),EN.POP.DNST,Nigeria,NGA,223.222648967357
Population density (people per sq. km of land area),EN.POP.DNST,North Macedonia,MKD,82.3431403647898
Population density (people per sq. km of land area),EN.POP.DNST,Northern Mariana Islands,MNP,108.386956521739
Population density (people per sq. km of land area),EN.POP.DNST,Norway,NOR,14.6479975020132
Population density (people per sq. km of land area),EN.POP.DNST,Oman,OMN,14.8716252019386
Population density (people per sq. km of land area),EN.POP.DNST,Pakistan,PAK,289.660232461602
Population density (people per sq. km of land area),EN.POP.DNST,Palau,PLW,38.9478260869565
Population density (people per sq. km of land area),EN.POP.DNST,Panama,PAN,57.0575896468051
Population density (people per sq. km of land area),EN.POP.DNST,Papua New Guinea,PNG,21.0716027028221
Population density (people per sq. km of land area),EN.POP.DNST,Paraguay,PRY,16.436008054367
Population density (people per sq. km of land area),EN.POP.DNST,Peru,PER,25.64442265625
Population density (people per sq. km of land area),EN.POP.DNST,Philippines,PHL,370.194197940772
Population density (people per sq. km of land area),EN.POP.DNST,Poland,POL,124.025595374212
Population density (people per sq. km of land area),EN.POP.DNST,Portugal,PRT,112.288582794065
Population density (people per sq. km of land area),EN.POP.DNST,Puerto Rico,PRI,360.055693348365
Population density (people per sq. km of land area),EN.POP.DNST,Qatar,QAT,244.319843342037
Population density (people per sq. km of land area),EN.POP.DNST,Romania,ROU,84.1952712100139
Population density (people per sq. km of land area),EN.POP.DNST,Russian Federation,RUS,8.81769599441163
Population density (people per sq. km of land area),EN.POP.DNST,Rwanda,RWA,520.268666396433
Population density (people per sq. km of land area),EN.POP.DNST,Samoa,WSM,76.2248201438849
Population density (people per sq. km of land area),EN.POP.DNST,San Marino,SMR,569.633333333333
Population density (people per sq. km of land area),EN.POP.DNST,Sao Tome and Principe,STP,223.540625
Population density (people per sq. km of land area),EN.POP.DNST,Saudi Arabia,SAU,16.6662923491294
Population density (people per sq. km of land area),EN.POP.DNST,Senegal,SEN,83.1079883654495
Population density (people per sq. km of land area),EN.POP.DNST,Serbia,SRB,79.4104161902584
Population density (people per sq. km of land area),EN.POP.DNST,Seychelles,SYC,212.228260869565
Population density (people per sq. km of land area),EN.POP.DNST,Sierra Leone,SLE,111.482793017456
Population density (people per sq. km of land area),EN.POP.DNST,Singapore,SGP,7965.87849162011
Population density (people per sq. km of land area),EN.POP.DNST,Sint Maarten (Dutch part),SXM,1223.76470588235
Population density (people per sq. km of land area),EN.POP.DNST,Slovak Republic,SVK,113.43899750416
Population density (people per sq. km of land area),EN.POP.DNST,Slovenia,SVN,103.711934605987
Population density (people per sq. km of land area),EN.POP.DNST,Solomon Islands,SLB,24.115505537692
Population density (people per sq. km of land area),EN.POP.DNST,Somalia,SOM,25.4747027130424
Population density (people per sq. km of land area),EN.POP.DNST,South Africa,ZAF,47.8835494481036
Population density (people per sq. km of land area),EN.POP.DNST,South Sudan,SSD,16.5329482695868
Population density (people per sq. km of land area),EN.POP.DNST,Spain,ESP,94.3508089023978
Population density (people per sq. km of land area),EN.POP.DNST,Sri Lanka,LKA,352.431694638296
Population density (people per sq. km of land area),EN.POP.DNST,St. Kitts and Nevis,KNA,183.507692307692
Population density (people per sq. km of land area),EN.POP.DNST,St. Lucia,LCA,292.759016393443
Population density (people per sq. km of land area),EN.POP.DNST,St. Martin (French part),MAF,662.42
Population density (people per sq. km of land area),EN.POP.DNST,St. Vincent and the Grenadines,VCT,269.035897435897
Population density (people per sq. km of land area),EN.POP.DNST,Sudan,SDN,23.1435187366167
Population density (people per sq. km of land area),EN.POP.DNST,Suriname,SUR,3.84808333333333
Population density (people per sq. km of land area),EN.POP.DNST,Sweden,SWE,25.2376654802124
Population density (people per sq. km of land area),EN.POP.DNST,Switzerland,CHE,217.007629561978
Population density (people per sq. km of land area),EN.POP.DNST,Syrian Arab Republic,SYR,109.449714099003
Population density (people per sq. km of land area),EN.POP.DNST,Tajikistan,TJK,67.2743209164925
Population density (people per sq. km of land area),EN.POP.DNST,Tanzania,TZA,67.5915319485211
Population density (people per sq. km of land area),EN.POP.DNST,Thailand,THA,139.57557008358
Population density (people per sq. km of land area),EN.POP.DNST,Timor-Leste,TLS,86.1088096839274
Population density (people per sq. km of land area),EN.POP.DNST,Togo,TGO,151.555322669608
Population density (people per sq. km of land area),EN.POP.DNST,Tonga,TON,145.765277777778
Population density (people per sq. km of land area),EN.POP.DNST,Trinidad and Tobago,TTO,296.287524366472
Population density (people per sq. km of land area),EN.POP.DNST,Tunisia,TUN,77.5573764160659
Population density (people per sq. km of land area),EN.POP.DNST,Turkiye,TUR,108.469893325364
Population density (people per sq. km of land area),EN.POP.DNST,Turkmenistan,TKM,13.1049730810972
Population density (people per sq. km of land area),EN.POP.DNST,Turks and Caicos Islands,TCA,45.3473684210526
Population density (people per sq. km of land area),EN.POP.DNST,Tuvalu,TUV,365.2
Population density (people per sq. km of land area),EN.POP.DNST,Uganda,UGA,214.188509874327
Population density (people per sq. km of land area),EN.POP.DNST,Ukraine,UKR,76.6071850189852
Population density (people per sq. km of land area),EN.POP.DNST,United Arab Emirates,ARE,129.705111236271
Population density (people per sq. km of land area),EN.POP.DNST,United Kingdom,GBR,276.263080229819
Population density (people per sq. km of land area),EN.POP.DNST,United States,USA,35.8931756713915
