Series Name,Series Code,Country Name,Country Code,2019 [YR2019]
Merchandise exports (current US$),TX.VAL.MRCH.CD.WT,Afghanistan,AFG,864000000
Merchandise exports (current US$),TX.VAL.MRCH.CD.WT,Albania,ALB,2716000000
Merchandise exports (current US$),TX.VAL.MRCH.CD.WT,Algeria,DZA,35312000000
Merchandise exports (current US$),TX.VAL.MRCH.CD.WT,American Samoa,ASM,353000000
Merchandise exports (current US$),TX.VAL.MRCH.CD.WT,Andorra,AND,126000000
Merchandise exports (current US$),TX.VAL.MRCH.CD.WT,Angola,AGO,34726000000
Merchandise exports (current US$),TX.VAL.MRCH.CD.WT,Antigua and Barbuda,ATG,38000000
Merchandise exports (current US$),TX.VAL.MRCH.CD.WT,Argentina,ARG,65116000000
Merchandise exports (current US$),TX.VAL.MRCH.CD.WT,Armenia,ARM,2640000000
Merchandise exports (current US$),TX.VAL.MRCH.CD.WT,Aruba,ABW,131000000
Merchandise exports (current US$),TX.VAL.MRCH.CD.WT,Australia,AUS,271005000000
Merchandise exports (current US$),TX.VAL.MRCH.CD.WT,Austria,AUT,178670000000
Merchandise exports (current US$),TX.VAL.MRCH.CD.WT,Azerbaijan,AZE,19635000000
Merchandise exports (current US$),TX.VAL.MRCH.CD.WT,"Bahamas, The",BHS,695000000
Merchandise exports (current US$),TX.VAL.MRCH.CD.WT,Bahrain,BHR,18120000000
Merchandise exports (current US$),TX.VAL.MRCH.CD.WT,Bangladesh,BGD,39337000000
Merchandise exports (current US$),TX.VAL.MRCH.CD.WT,Barbados,BRB,444000000
Merchandise exports (current US$),TX.VAL.MRCH.CD.WT,Belarus,BLR,32955000000
Merchandise exports (current US$),TX.VAL.MRCH.CD.WT,Belgium,BEL,446910000000
Merchandise exports (current US$),TX.VAL.MRCH.CD.WT,Belize,BLZ,425000000
Merchandise exports (current US$),TX.VAL.MRCH.CD.WT,Benin,BEN,3052000000
Merchandise exports (current US$),TX.VAL.MRCH.CD.WT,Bermuda,BMU,19000000
