Code Domaine,Domaine,Code zone (M49),Zone,Code Élément,Élément,Code Produit (CPC),Produit,Code année,Année,Unité,Valeur,Symbole,Description du Symbole
"FBS","Bilans Alimentaires (2010-)","528","Pays-Bas (Royaume des)","5511","Production","F2601","Tomates et produits","2019","2019","Milliers de tonnes","910","I","Valeur imputée"
"FBS","Bilans Alimentaires (2010-)","528","Pays-Bas (Royaume des)","5611","Importations - Quantité","F2601","Tomates et produits","2019","2019","Milliers de tonnes","417","I","Valeur imputée"
"FBS","Bilans Alimentaires (2010-)","528","Pays-Bas (Royaume des)","5072","Variation de stock","F2601","Tomates et produits","2019","2019","Milliers de tonnes","0","I","Valeur imputée"
"FBS","Bilans Alimentaires (2010-)","528","Pays-Bas (Royaume des)","5911","Exportations - Quantité","F2601","Tomates et produits","2019","2019","Milliers de tonnes","1141","I","Valeur imputée"
"FBS","Bilans Alimentaires (2010-)","528","Pays-Bas (Royaume des)","5301","Disponibilité intérieure","F2601","Tomates et produits","2019","2019","Milliers de tonnes","186","I","Valeur imputée"
"FBS","Bilans Alimentaires (2010-)","528","Pays-Bas (Royaume des)","5123","Pertes","F2601","Tomates et produits","2019","2019","Milliers de tonnes","34","I","Valeur imputée"
"FBS","Bilans Alimentaires (2010-)","528","Pays-Bas (Royaume des)","5142","Nourriture","F2601","Tomates et produits","2019","2019","Milliers de tonnes","152","I","Valeur imputée"
"FBS","Bilans Alimentaires (2010-)","528","Pays-Bas (Royaume des)","664","Disponibilité alimentaire (Kcal/personne/jour)","F2601","Tomates et produits","2019","2019","Kcal/personne/jour","14.79","E","Valeur estimée"
"FBS","Bilans Alimentaires (2010-)","528","Pays-Bas (Royaume des)","5511","Production","F2602","Oignons","2019","2019","Milliers de tonnes","1738","I","Valeur imputée"
"FBS","Bilans Alimentaires (2010-)","528","Pays-Bas (Royaume des)","5611","Importations - Quantité","F2602","Oignons","2019","2019","Milliers de tonnes","345","I","Valeur imputée"
"FBS","Bilans Alimentaires (2010-)","528","Pays-Bas (Royaume des)","5072","Variation de stock","F2602","Oignons","2019","2019","Milliers de tonnes","0","I","Valeur imputée"
"FBS","Bilans Alimentaires (2010-)","528","Pays-Bas (Royaume des)","5911","Exportations - Quantité","F2602","Oignons","2019","2019","Milliers de tonnes","1596","I","Valeur imputée"
"FBS","Bilans Alimentaires (2010-)","528","Pays-Bas (Royaume des)","5301","Disponibilité intérieure","F2602","Oignons","2019","2019","Milliers de tonnes","486","I","Valeur imputée"
"FBS","Bilans Alimentaires (2010-)","528","Pays-Bas (Royaume des)","5123","Pertes","F2602","Oignons","2019","2019","Milliers de tonnes","62","I","Valeur imputée"
"FBS","Bilans Alimentaires (2010-)","528","Pays-Bas (Royaume des)","5142","Nourriture","F2602","Oignons","2019","2019","Milliers de tonnes","182","I","Valeur imputée"
"FBS","Bilans Alimentaires (2010-)","528","Pays-Bas (Royaume des)","664","Disponibilité alimentaire (Kcal/personne/jour)","F2602","Oignons","2019","2019","Kcal/personne/jour","11.85","E","Valeur estimée"
"FBS","Bilans Alimentaires (2010-)","528","Pays-Bas (Royaume des)","5511","Production","F2605","Légumes, autres","2019","2019","Milliers de tonnes","2826","I","Valeur imputée"
"FBS","Bilans Alimentaires (2010-)","528","Pays-Bas (Royaume des)","5611","Importations - Quantité","F2605","Légumes, autres","2019","2019","Milliers de tonnes","1750","I","Valeur imputée"
"FBS","Bilans Alimentaires (2010-)","528","Pays-Bas (Royaume des)","5072","Variation de stock","F2605","Légumes, autres","2019","2019","Milliers de tonnes","2","I","Valeur imputée"
