Code Domaine,Domaine,Code zone (M49),Zone,Code Élément,Élément,Code Produit (CPC),Produit,Code année,Année,Unité,Valeur,Symbole,Description du Symbole
"FBS","Bilans Alimentaires (2010-)","528","Pays-Bas (Royaume des)","5511","Production","F2731","Viande de Bovins","2019","2019","Milliers de tonnes","424","I","Valeur imputée"
"FBS","Bilans Alimentaires (2010-)","528","Pays-Bas (Royaume des)","5611","Importations - Quantité","F2731","Viande de Bovins","2019","2019","Milliers de tonnes","501","I","Valeur imputée"
"FBS","Bilans Alimentaires (2010-)","528","Pays-Bas (Royaume des)","5072","Variation de stock","F2731","Viande de Bovins","2019","2019","Milliers de tonnes","12","I","Valeur imputée"
"FBS","Bilans Alimentaires (2010-)","528","Pays-Bas (Royaume des)","5911","Exportations - Quantité","F2731","Viande de Bovins","2019","2019","Milliers de tonnes","647","I","Valeur imputée"
"FBS","Bilans Alimentaires (2010-)","528","Pays-Bas (Royaume des)","5301","Disponibilité intérieure","F2731","Viande de Bovins","2019","2019","Milliers de tonnes","265","I","Valeur imputée"
"FBS","Bilans Alimentaires (2010-)","528","Pays-Bas (Royaume des)","5123","Pertes","F2731","Viande de Bovins","2019","2019","Milliers de tonnes","0","I","Valeur imputée"
"FBS","Bilans Alimentaires (2010-)","528","Pays-Bas (Royaume des)","5142","Nourriture","F2731","Viande de Bovins","2019","2019","Milliers de tonnes","268","I","Valeur imputée"
"FBS","Bilans Alimentaires (2010-)","528","Pays-Bas (Royaume des)","664","Disponibilité alimentaire (Kcal/personne/jour)","F2731","Viande de Bovins","2019","2019","Kcal/personne/jour","89.73","E","Valeur estimée"
"FBS","Bilans Alimentaires (2010-)","528","Pays-Bas (Royaume des)","5511","Production","F2732","Viande d'Ovins/Caprins","2019","2019","Milliers de tonnes","16","I","Valeur imputée"
"FBS","Bilans Alimentaires (2010-)","528","Pays-Bas (Royaume des)","5611","Importations - Quantité","F2732","Viande d'Ovins/Caprins","2019","2019","Milliers de tonnes","35","I","Valeur imputée"
"FBS","Bilans Alimentaires (2010-)","528","Pays-Bas (Royaume des)","5072","Variation de stock","F2732","Viande d'Ovins/Caprins","2019","2019","Milliers de tonnes","0","I","Valeur imputée"
"FBS","Bilans Alimentaires (2010-)","528","Pays-Bas (Royaume des)","5911","Exportations - Quantité","F2732","Viande d'Ovins/Caprins","2019","2019","Milliers de tonnes","34","I","Valeur imputée"
"FBS","Bilans Alimentaires (2010-)","528","Pays-Bas (Royaume des)","5301","Disponibilité intérieure","F2732","Viande d'Ovins/Caprins","2019","2019","Milliers de tonnes","17","I","Valeur imputée"
"FBS","Bilans Alimentaires (2010-)","528","Pays-Bas (Royaume des)","5123","Pertes","F2732","Viande d'Ovins/Caprins","2019","2019","Milliers de tonnes","0","I","Valeur imputée"
"FBS","Bilans Alimentaires (2010-)","528","Pays-Bas (Royaume des)","5142","Nourriture","F2732","Viande d'Ovins/Caprins","2019","2019","Milliers de tonnes","17","I","Valeur imputée"
"FBS","Bilans Alimentaires (2010-)","528","Pays-Bas (Royaume des)","664","Disponibilité alimentaire (Kcal/personne/jour)","F2732","Viande d'Ovins/Caprins","2019","2019","Kcal/personne/jour","6.05","E","Valeur estimée"
"FBS","Bilans Alimentaires (2010-)","528","Pays-Bas (Royaume des)","5511","Production","F2733","Viande de porcins","2019","2019","Milliers de tonnes","1628","I","Valeur imputée"
"FBS","Bilans Alimentaires (2010-)","528","Pays-Bas (Royaume des)","5611","Importations - Quantité","F2733","Viande de porcins","2019","2019","Milliers de tonnes","368","I","Valeur imputée"
"FBS","Bilans Alimentaires (2010-)","528","Pays-Bas (Royaume des)","5072","Variation de stock","F2733","Viande de porcins","2019","2019","Milliers de tonnes","183","I","Valeur imputée"
"FBS","Bilans Alimentaires (2010-)","528","Pays-Bas (Royaume des)","5911","Exportations - Quantité","F2733","Viande de porcins","2019","2019","Milliers de tonnes","1345","I","Valeur imputée"
"FBS","Bilans Alimentaires (2010-)","528","Pays-Bas (Royaume des)","5301","Disponibilité intérieure","F2733","Viande de porcins","2019","2019","Milliers de tonnes","468","I","Valeur imputée"
"FBS","Bilans Alimentaires (2010-)","528","Pays-Bas (Royaume des)","5123","Pertes","F2733","Viande de porcins","2019","2019","Milliers de tonnes","0","I","Valeur imputée"
"FBS","Bilans Alimentaires (2010-)","528","Pays-Bas (Royaume des)","5142","Nourriture","F2733","Viande de porcins","2019","2019","Milliers de tonnes","468","I","Valeur imputée"
"FBS","Bilans Alimentaires (2010-)","528","Pays-Bas (Royaume des)","664","Disponibilité alimentaire (Kcal/personne/jour)","F2733","Viande de porcins","2019","2019","Kcal/personne/jour","153.42","E","Valeur estimée"
"FBS","Bilans Alimentaires (2010-)","528","Pays-Bas (Royaume des)","5511","Production","F2734","Viande de Volailles","2019","2019","Milliers de tonnes","1048","I","Valeur imputée"
"FBS","Bilans Alimentaires (2010-)","528","Pays-Bas (Royaume des)","5611","Importations - Quantité","F2734","Viande de Volailles","2019","2019","Milliers de tonnes","602","I","Valeur imputée"
"FBS","Bilans Alimentaires (2010-)","528","Pays-Bas (Royaume des)","5072","Variation de stock","F2734","Viande de Volailles","2019","2019","Milliers de tonnes","-3","I","Valeur imputée"
"FBS","Bilans Alimentaires (2010-)","528","Pays-Bas (Royaume des)","5911","Exportations - Quantité","F2734","Viande de Volailles","2019","2019","Milliers de tonnes","1493","I","Valeur imputée"
"FBS","Bilans Alimentaires (2010-)","528","Pays-Bas (Royaume des)","5301","Disponibilité intérieure","F2734","Viande de Volailles","2019","2019","Milliers de tonnes","160","I","Valeur imputée"
"FBS","Bilans Alimentaires (2010-)","528","Pays-Bas (Royaume des)","5123","Pertes","F2734","Viande de Volailles","2019","2019","Milliers de tonnes","0","I","Valeur imputée"
"FBS","Bilans Alimentaires (2010-)","528","Pays-Bas (Royaume des)","5142","Nourriture","F2734","Viande de Volailles","2019","2019","Milliers de tonnes","91","I","Valeur imputée"
"FBS","Bilans Alimentaires (2010-)","528","Pays-Bas (Royaume des)","664","Disponibilité alimentaire (Kcal/personne/jour)","F2734","Viande de Volailles","2019","2019","Kcal/personne/jour","18.49","E","Valeur estimée"
"FBS","Bilans Alimentaires (2010-)","528","Pays-Bas (Royaume des)","5511","Production","F2735","Viande, Autre","2019","2019","Milliers de tonnes","0","I","Valeur imputée"
"FBS","Bilans Alimentaires (2010-)","528","Pays-Bas (Royaume des)","5611","Importations - Quantité","F2735","Viande, Autre","2019","2019","Milliers de tonnes","207","I","Valeur imputée"
"FBS","Bilans Alimentaires (2010-)","528","Pays-Bas (Royaume des)","5072","Variation de stock","F2735","Viande, Autre","2019","2019","Milliers de tonnes","2","I","Valeur imputée"
"FBS","Bilans Alimentaires (2010-)","528","Pays-Bas (Royaume des)","5911","Exportations - Quantité","F2735","Viande, Autre","2019","2019","Milliers de tonnes","140","I","Valeur imputée"
"FBS","Bilans Alimentaires (2010-)","528","Pays-Bas (Royaume des)","5301","Disponibilité intérieure","F2735","Viande, Autre","2019","2019","Milliers de tonnes","64","I","Valeur imputée"
"FBS","Bilans Alimentaires (2010-)","528","Pays-Bas (Royaume des)","5123","Pertes","F2735","Viande, Autre","2019","2019","Milliers de tonnes","0","I","Valeur imputée"
"FBS","Bilans Alimentaires (2010-)","528","Pays-Bas (Royaume des)","5142","Nourriture","F2735","Viande, Autre","2019","2019","Milliers de tonnes","62","I","Valeur imputée"
"FBS","Bilans Alimentaires (2010-)","528","Pays-Bas (Royaume des)","664","Disponibilité alimentaire (Kcal/personne/jour)","F2735","Viande, Autre","2019","2019","Kcal/personne/jour","20.19","E","Valeur estimée"
"FBS","Bilans Alimentaires (2010-)","004","Afghanistan","5511","Production","F2731","Viande de Bovins","2019","2019","Milliers de tonnes","98","I","Valeur imputée"
