Series Name,Series Code,Country Name,Country Code,2019 [YR2019]
Food production index (2014-2016 = 100),AG.PRD.FOOD.XD,Afghanistan,AFG,112.55
Food production index (2014-2016 = 100),AG.PRD.FOOD.XD,Albania,ALB,104.11
Food production index (2014-2016 = 100),AG.PRD.FOOD.XD,Algeria,DZA,112.16
Food production index (2014-2016 = 100),AG.PRD.FOOD.XD,American Samoa,ASM,..
Food production index (2014-2016 = 100),AG.PRD.FOOD.XD,Andorra,AND,..
Food production index (2014-2016 = 100),AG.PRD.FOOD.XD,Angola,AGO,107.53
Food production index (2014-2016 = 100),AG.PRD.FOOD.XD,Antigua and Barbuda,ATG,86.62
Food production index (2014-2016 = 100),AG.PRD.FOOD.XD,Argentina,ARG,112.59
Food production index (2014-2016 = 100),AG.PRD.FOOD.XD,Armenia,ARM,81.28
Food production index (2014-2016 = 100),AG.PRD.FOOD.XD,Aruba,ABW,..
Food production index (2014-2016 = 100),AG.PRD.FOOD.XD,Australia,AUS,91.53
Food production index (2014-2016 = 100),AG.PRD.FOOD.XD,Austria,AUT,99.96
Food production index (2014-2016 = 100),AG.PRD.FOOD.XD,Azerbaijan,AZE,121.46
Food production index (2014-2016 = 100),AG.PRD.FOOD.XD,"Bahamas, The",BHS,99.87
Food production index (2014-2016 = 100),AG.PRD.FOOD.XD,Bahrain,BHR,129.86
Food production index (2014-2016 = 100),AG.PRD.FOOD.XD,Bangladesh,BGD,108.34
Food production index (2014-2016 = 100),AG.PRD.FOOD.XD,Barbados,BRB,105.02
Food production index (2014-2016 = 100),AG.PRD.FOOD.XD,Belarus,BLR,101.63
Food production index (2014-2016 = 100),AG.PRD.FOOD.XD,Belgium,BEL,100.97
Food production index (2014-2016 = 100),AG.PRD.FOOD.XD,Belize,BLZ,96.97
Food production index (2014-2016 = 100),AG.PRD.FOOD.XD,Benin,BEN,117.25
Food production index (2014-2016 = 100),AG.PRD.FOOD.XD,Bermuda,BMU,..
Food production index (2014-2016 = 100),AG.PRD.FOOD.XD,Bhutan,BTN,102.23
Food production index (2014-2016 = 100),AG.PRD.FOOD.XD,Bolivia,BOL,109.81
Food production index (2014-2016 = 100),AG.PRD.FOOD.XD,Bosnia and Herzegovina,BIH,105.35
Food production index (2014-2016 = 100),AG.PRD.FOOD.XD,Botswana,BWA,100.88
Food production index (2014-2016 = 100),AG.PRD.FOOD.XD,Brazil,BRA,109.25
Food production index (2014-2016 = 100),AG.PRD.FOOD.XD,British Virgin Islands,VGB,..
Food production index (2014-2016 = 100),AG.PRD.FOOD.XD,Brunei Darussalam,BRN,100.29
Food production index (2014-2016 = 100),AG.PRD.FOOD.XD,Bulgaria,BGR,107.73
Food production index (2014-2016 = 100),AG.PRD.FOOD.XD,Burkina Faso,BFA,121.26
Food production index (2014-2016 = 100),AG.PRD.FOOD.XD,Burundi,BDI,135.1
Food production index (2014-2016 = 100),AG.PRD.FOOD.XD,Cabo Verde,CPV,78.9
Food production index (2014-2016 = 100),AG.PRD.FOOD.XD,Cambodia,KHM,110.22
Food production index (2014-2016 = 100),AG.PRD.FOOD.XD,Cameroon,CMR,100.86
Food production index (2014-2016 = 100),AG.PRD.FOOD.XD,Canada,CAN,110.39
Food production index (2014-2016 = 100),AG.PRD.FOOD.XD,Cayman Islands,CYM,..
Food production index (2014-2016 = 100),AG.PRD.FOOD.XD,Central African Republic,CAF,107.21
Food production index (2014-2016 = 100),AG.PRD.FOOD.XD,Chad,TCD,118.38
Food production index (2014-2016 = 100),AG.PRD.FOOD.XD,Channel Islands,CHI,..
Food production index (2014-2016 = 100),AG.PRD.FOOD.XD,Chile,CHL,107.59
Food production index (2014-2016 = 100),AG.PRD.FOOD.XD,China,CHN,103.21
Food production index (2014-2016 = 100),AG.PRD.FOOD.XD,Colombia,COL,104.81
Food production index (2014-2016 = 100),AG.PRD.FOOD.XD,Comoros,COM,105.84
Food production index (2014-2016 = 100),AG.PRD.FOOD.XD,"Congo, Dem. Rep.",COD,109.93
Food production index (2014-2016 = 100),AG.PRD.FOOD.XD,"Congo, Rep.",COG,103.94
Food production index (2014-2016 = 100),AG.PRD.FOOD.XD,Costa Rica,CRI,101.84
Food production index (2014-2016 = 100),AG.PRD.FOOD.XD,Cote d'Ivoire,CIV,116.75
Food production index (2014-2016 = 100),AG.PRD.FOOD.XD,Croatia,HRV,99.5
Food production index (2014-2016 = 100),AG.PRD.FOOD.XD,Cuba,CUB,95.36
Food production index (2014-2016 = 100),AG.PRD.FOOD.XD,Curacao,CUW,..
Food production index (2014-2016 = 100),AG.PRD.FOOD.XD,Cyprus,CYP,106.12
Food production index (2014-2016 = 100),AG.PRD.FOOD.XD,Czechia,CZE,92.95
Food production index (2014-2016 = 100),AG.PRD.FOOD.XD,Denmark,DNK,100.59
Food production index (2014-2016 = 100),AG.PRD.FOOD.XD,Djibouti,DJI,136.75
Food production index (2014-2016 = 100),AG.PRD.FOOD.XD,Dominica,DMA,100.26
Food production index (2014-2016 = 100),AG.PRD.FOOD.XD,Dominican Republic,DOM,116.56
Food production index (2014-2016 = 100),AG.PRD.FOOD.XD,Ecuador,ECU,100.44
Food production index (2014-2016 = 100),AG.PRD.FOOD.XD,"Egypt, Arab Rep.",EGY,100.61
Food production index (2014-2016 = 100),AG.PRD.FOOD.XD,El Salvador,SLV,102.87
Food production index (2014-2016 = 100),AG.PRD.FOOD.XD,Equatorial Guinea,GNQ,102.64
Food production index (2014-2016 = 100),AG.PRD.FOOD.XD,Eritrea,ERI,103.91
Food production index (2014-2016 = 100),AG.PRD.FOOD.XD,Estonia,EST,106.74
Food production index (2014-2016 = 100),AG.PRD.FOOD.XD,Eswatini,SWZ,104.02
Food production index (2014-2016 = 100),AG.PRD.FOOD.XD,Ethiopia,ETH,110.36
Food production index (2014-2016 = 100),AG.PRD.FOOD.XD,Faroe Islands,FRO,100.96
Food production index (2014-2016 = 100),AG.PRD.FOOD.XD,Fiji,FJI,120.46
Food production index (2014-2016 = 100),AG.PRD.FOOD.XD,Finland,FIN,102.16
Food production index (2014-2016 = 100),AG.PRD.FOOD.XD,France,FRA,98.14
Food production index (2014-2016 = 100),AG.PRD.FOOD.XD,French Polynesia,PYF,103.45
Food production index (2014-2016 = 100),AG.PRD.FOOD.XD,Gabon,GAB,103.7
