Series Name,Series Code,Country Name,Country Code,2019 [YR2019]
Gini index,SI.POV.GINI,Afghanistan,AFG,..
Gini index,SI.POV.GINI,Albania,ALB,30.1
Gini index,SI.POV.GINI,Algeria,DZA,..
Gini index,SI.POV.GINI,American Samoa,ASM,..
Gini index,SI.POV.GINI,Andorra,AND,..
Gini index,SI.POV.GINI,Angola,AGO,..
Gini index,SI.POV.GINI,Antigua and Barbuda,ATG,..
Gini index,SI.POV.GINI,Argentina,ARG,42.9
Gini index,SI.POV.GINI,Armenia,ARM,30
Gini index,SI.POV.GINI,Aruba,ABW,..
Gini index,SI.POV.GINI,Australia,AUS,..
Gini index,SI.POV.GINI,Austria,AUT,30.2
Gini index,SI.POV.GINI,Azerbaijan,AZE,..
Gini index,SI.POV.GINI,"Bahamas, The",BHS,..
Gini index,SI.POV.GINI,Bahrain,BHR,..
Gini index,SI.POV.GINI,Bangladesh,BGD,..
Gini index,SI.POV.GINI,Barbados,BRB,..
Gini index,SI.POV.GINI,Belarus,BLR,25.3
Gini index,SI.POV.GINI,Belgium,BEL,27.2
Gini index,SI.POV.GINI,Belize,BLZ,..
Gini index,SI.POV.GINI,Benin,BEN,..
Gini index,SI.POV.GINI,Bermuda,BMU,..
Gini index,SI.POV.GINI,Bhutan,BTN,..
Gini index,SI.POV.GINI,Bolivia,BOL,41.6
Gini index,SI.POV.GINI,Bosnia and Herzegovina,BIH,..
Gini index,SI.POV.GINI,Botswana,BWA,..
Gini index,SI.POV.GINI,Brazil,BRA,53.5
Gini index,SI.POV.GINI,British Virgin Islands,VGB,..
Gini index,SI.POV.GINI,Brunei Darussalam,BRN,..
Gini index,SI.POV.GINI,Bulgaria,BGR,40.3
Gini index,SI.POV.GINI,Burkina Faso,BFA,..
Gini index,SI.POV.GINI,Burundi,BDI,..
Gini index,SI.POV.GINI,Cabo Verde,CPV,..
Gini index,SI.POV.GINI,Cambodia,KHM,..
Gini index,SI.POV.GINI,Cameroon,CMR,..
Gini index,SI.POV.GINI,Canada,CAN,..
Gini index,SI.POV.GINI,Cayman Islands,CYM,..
Gini index,SI.POV.GINI,Central African Republic,CAF,..
Gini index,SI.POV.GINI,Chad,TCD,..
Gini index,SI.POV.GINI,Channel Islands,CHI,..
Gini index,SI.POV.GINI,Chile,CHL,..
Gini index,SI.POV.GINI,China,CHN,38.2
Gini index,SI.POV.GINI,Colombia,COL,51.3
Gini index,SI.POV.GINI,Comoros,COM,..
Gini index,SI.POV.GINI,"Congo, Dem. Rep.",COD,..
Gini index,SI.POV.GINI,"Congo, Rep.",COG,..
Gini index,SI.POV.GINI,Costa Rica,CRI,48.2
Gini index,SI.POV.GINI,Cote d'Ivoire,CIV,..
Gini index,SI.POV.GINI,Croatia,HRV,28.9
Gini index,SI.POV.GINI,Cuba,CUB,..
Gini index,SI.POV.GINI,Curacao,CUW,..
Gini index,SI.POV.GINI,Cyprus,CYP,31.2
Gini index,SI.POV.GINI,Czechia,CZE,25.3
Gini index,SI.POV.GINI,Denmark,DNK,27.7
Gini index,SI.POV.GINI,Djibouti,DJI,..
Gini index,SI.POV.GINI,Dominica,DMA,..
Gini index,SI.POV.GINI,Dominican Republic,DOM,41.9
Gini index,SI.POV.GINI,Ecuador,ECU,45.7
Gini index,SI.POV.GINI,"Egypt, Arab Rep.",EGY,31.9
Gini index,SI.POV.GINI,El Salvador,SLV,38.8
Gini index,SI.POV.GINI,Equatorial Guinea,GNQ,..
Gini index,SI.POV.GINI,Eritrea,ERI,..
Gini index,SI.POV.GINI,Estonia,EST,30.8
Gini index,SI.POV.GINI,Eswatini,SWZ,..
Gini index,SI.POV.GINI,Ethiopia,ETH,..
Gini index,SI.POV.GINI,Faroe Islands,FRO,..
Gini index,SI.POV.GINI,Fiji,FJI,30.7
Gini index,SI.POV.GINI,Finland,FIN,27.7
Gini index,SI.POV.GINI,France,FRA,31.2
Gini index,SI.POV.GINI,French Polynesia,PYF,..
Gini index,SI.POV.GINI,Gabon,GAB,..
Gini index,SI.POV.GINI,"Gambia, The",GMB,..
Gini index,SI.POV.GINI,Georgia,GEO,35.9
Gini index,SI.POV.GINI,Germany,DEU,31.7
Gini index,SI.POV.GINI,Ghana,GHA,..
Gini index,SI.POV.GINI,Gibraltar,GIB,..
Gini index,SI.POV.GINI,Greece,GRC,33.1
Gini index,SI.POV.GINI,Greenland,GRL,..
Gini index,SI.POV.GINI,Grenada,GRD,..
Gini index,SI.POV.GINI,Guam,GUM,..
Gini index,SI.POV.GINI,Guatemala,GTM,..
Gini index,SI.POV.GINI,Guinea,GIN,..
Gini index,SI.POV.GINI,Guinea-Bissau,GNB,..
Gini index,SI.POV.GINI,Guyana,GUY,..
Gini index,SI.POV.GINI,Haiti,HTI,..
Gini index,SI.POV.GINI,Honduras,HND,48.2
Gini index,SI.POV.GINI,"Hong Kong SAR, China",HKG,..
Gini index,SI.POV.GINI,Hungary,HUN,30
Gini index,SI.POV.GINI,Iceland,ISL,..
Gini index,SI.POV.GINI,India,IND,35.7
Gini index,SI.POV.GINI,Indonesia,IDN,37.6
Gini index,SI.POV.GINI,"Iran, Islamic Rep.",IRN,40.9
Gini index,SI.POV.GINI,Iraq,IRQ,..
Gini index,SI.POV.GINI,Ireland,IRL,30.8
Gini index,SI.POV.GINI,Isle of Man,IMN,..
Gini index,SI.POV.GINI,Israel,ISR,..
Gini index,SI.POV.GINI,Italy,ITA,34.6
Gini index,SI.POV.GINI,Jamaica,JAM,..
Gini index,SI.POV.GINI,Japan,JPN,..
Gini index,SI.POV.GINI,Jordan,JOR,..
Gini index,SI.POV.GINI,Kazakhstan,KAZ,..
Gini index,SI.POV.GINI,Kenya,KEN,..
Gini index,SI.POV.GINI,Kiribati,KIR,27.8
Gini index,SI.POV.GINI,"Korea, Dem. People's Rep.",PRK,..
Gini index,SI.POV.GINI,"Korea, Rep.",KOR,..
Gini index,SI.POV.GINI,Kosovo,XKX,..
Gini index,SI.POV.GINI,Kuwait,KWT,..
Gini index,SI.POV.GINI,Kyrgyz Republic,KGZ,29.7
Gini index,SI.POV.GINI,Lao PDR,LAO,..
Gini index,SI.POV.GINI,Latvia,LVA,34.5
Gini index,SI.POV.GINI,Lebanon,LBN,..
Gini index,SI.POV.GINI,Lesotho,LSO,..
Gini index,SI.POV.GINI,Liberia,LBR,..
Gini index,SI.POV.GINI,Libya,LBY,..
Gini index,SI.POV.GINI,Liechtenstein,LIE,..
Gini index,SI.POV.GINI,Lithuania,LTU,35.3
Gini index,SI.POV.GINI,Luxembourg,LUX,34.2
Gini index,SI.POV.GINI,"Macao SAR, China",MAC,..
Gini index,SI.POV.GINI,Madagascar,MDG,..
Gini index,SI.POV.GINI,Malawi,MWI,38.5
Gini index,SI.POV.GINI,Malaysia,MYS,..
Gini index,SI.POV.GINI,Maldives,MDV,29.3
Gini index,SI.POV.GINI,Mali,MLI,..
Gini index,SI.POV.GINI,Malta,MLT,31
Gini index,SI.POV.GINI,Marshall Islands,MHL,35.5
Gini index,SI.POV.GINI,Mauritania,MRT,..
Gini index,SI.POV.GINI,Mauritius,MUS,..
Gini index,SI.POV.GINI,Mexico,MEX,..
Gini index,SI.POV.GINI,"Micronesia, Fed. Sts.",FSM,..
Gini index,SI.POV.GINI,Moldova,MDA,26
Gini index,SI.POV.GINI,Monaco,MCO,..
Gini index,SI.POV.GINI,Mongolia,MNG,..
Gini index,SI.POV.GINI,Montenegro,MNE,..
Gini index,SI.POV.GINI,Morocco,MAR,..
Gini index,SI.POV.GINI,Mozambique,MOZ,..
Gini index,SI.POV.GINI,Myanmar,MMR,..
Gini index,SI.POV.GINI,Namibia,NAM,..
Gini index,SI.POV.GINI,Nauru,NRU,..
Gini index,SI.POV.GINI,Nepal,NPL,..
Gini index,SI.POV.GINI,Netherlands,NLD,29.2
Gini index,SI.POV.GINI,New Caledonia,NCL,..
Gini index,SI.POV.GINI,New Zealand,NZL,..
Gini index,SI.POV.GINI,Nicaragua,NIC,..
Gini index,SI.POV.GINI,Niger,NER,..
Gini index,SI.POV.GINI,Nigeria,NGA,..
Gini index,SI.POV.GINI,North Macedonia,MKD,33.5
Gini index,SI.POV.GINI,Northern Mariana Islands,MNP,..
Gini index,SI.POV.GINI,Norway,NOR,27.7
Gini index,SI.POV.GINI,Oman,OMN,..
