Series Name,Series Code,Country Name,Country Code,2019 [YR2019]
Merchandise imports (current US$),TM.VAL.MRCH.CD.WT,Afghanistan,AFG,6777000000
Merchandise imports (current US$),TM.VAL.MRCH.CD.WT,Albania,ALB,5897000000
Merchandise imports (current US$),TM.VAL.MRCH.CD.WT,Algeria,DZA,44632000000
Merchandise imports (current US$),TM.VAL.MRCH.CD.WT,American Samoa,ASM,712000000
Merchandise imports (current US$),TM.VAL.MRCH.CD.WT,Andorra,AND,1567000000
Merchandise imports (current US$),TM.VAL.MRCH.CD.WT,Angola,AGO,14127000000
Merchandise imports (current US$),TM.VAL.MRCH.CD.WT,Antigua and Barbuda,ATG,701000000
Merchandise imports (current US$),TM.VAL.MRCH.CD.WT,Argentina,ARG,49124000000
Merchandise imports (current US$),TM.VAL.MRCH.CD.WT,Armenia,ARM,5514000000
Merchandise imports (current US$),TM.VAL.MRCH.CD.WT,Aruba,ABW,1206000000
Merchandise imports (current US$),TM.VAL.MRCH.CD.WT,Australia,AUS,221564000000
Merchandise imports (current US$),TM.VAL.MRCH.CD.WT,Austria,AUT,184758000000
Merchandise imports (current US$),TM.VAL.MRCH.CD.WT,Azerbaijan,AZE,13668000000
Merchandise imports (current US$),TM.VAL.MRCH.CD.WT,"Bahamas, The",BHS,3009000000
Merchandise imports (current US$),TM.VAL.MRCH.CD.WT,Bahrain,BHR,13256000000
Merchandise imports (current US$),TM.VAL.MRCH.CD.WT,Bangladesh,BGD,59094000000
Merchandise imports (current US$),TM.VAL.MRCH.CD.WT,Barbados,BRB,1581000000
Merchandise imports (current US$),TM.VAL.MRCH.CD.WT,Belarus,BLR,39477000000
Merchandise imports (current US$),TM.VAL.MRCH.CD.WT,Belgium,BEL,428878000000
Merchandise imports (current US$),TM.VAL.MRCH.CD.WT,Belize,BLZ,986000000
Merchandise imports (current US$),TM.VAL.MRCH.CD.WT,Benin,BEN,3932000000
Merchandise imports (current US$),TM.VAL.MRCH.CD.WT,Bermuda,BMU,1146000000
Merchandise imports (current US$),TM.VAL.MRCH.CD.WT,Bhutan,BTN,981000000
Merchandise imports (current US$),TM.VAL.MRCH.CD.WT,Bolivia,BOL,9784000000
Merchandise imports (current US$),TM.VAL.MRCH.CD.WT,Bosnia and Herzegovina,BIH,11159000000
Merchandise imports (current US$),TM.VAL.MRCH.CD.WT,Botswana,BWA,6564000000
Merchandise imports (current US$),TM.VAL.MRCH.CD.WT,Brazil,BRA,193162000000
Merchandise imports (current US$),TM.VAL.MRCH.CD.WT,British Virgin Islands,VGB,..
Merchandise imports (current US$),TM.VAL.MRCH.CD.WT,Brunei Darussalam,BRN,5103000000
Merchandise imports (current US$),TM.VAL.MRCH.CD.WT,Bulgaria,BGR,37663000000
Merchandise imports (current US$),TM.VAL.MRCH.CD.WT,Burkina Faso,BFA,4284000000
Merchandise imports (current US$),TM.VAL.MRCH.CD.WT,Burundi,BDI,887000000
Merchandise imports (current US$),TM.VAL.MRCH.CD.WT,Cabo Verde,CPV,796000000
Merchandise imports (current US$),TM.VAL.MRCH.CD.WT,Cambodia,KHM,20279000000
Merchandise imports (current US$),TM.VAL.MRCH.CD.WT,Cameroon,CMR,6583000000
Merchandise imports (current US$),TM.VAL.MRCH.CD.WT,Canada,CAN,462993000000
Merchandise imports (current US$),TM.VAL.MRCH.CD.WT,Cayman Islands,CYM,1428000000
Merchandise imports (current US$),TM.VAL.MRCH.CD.WT,Central African Republic,CAF,613000000
Merchandise imports (current US$),TM.VAL.MRCH.CD.WT,Chad,TCD,2694000000
Merchandise imports (current US$),TM.VAL.MRCH.CD.WT,Channel Islands,CHI,..
Merchandise imports (current US$),TM.VAL.MRCH.CD.WT,Chile,CHL,69855000000
Merchandise imports (current US$),TM.VAL.MRCH.CD.WT,China,CHN,2078386000000
Merchandise imports (current US$),TM.VAL.MRCH.CD.WT,Colombia,COL,52703000000
Merchandise imports (current US$),TM.VAL.MRCH.CD.WT,Comoros,COM,265000000
Merchandise imports (current US$),TM.VAL.MRCH.CD.WT,"Congo, Dem. Rep.",COD,8825000000
Merchandise imports (current US$),TM.VAL.MRCH.CD.WT,"Congo, Rep.",COG,2242000000
Merchandise imports (current US$),TM.VAL.MRCH.CD.WT,Costa Rica,CRI,17573000000
Merchandise imports (current US$),TM.VAL.MRCH.CD.WT,Cote d'Ivoire,CIV,10483000000
Merchandise imports (current US$),TM.VAL.MRCH.CD.WT,Croatia,HRV,28160000000
Merchandise imports (current US$),TM.VAL.MRCH.CD.WT,Cuba,CUB,9901000000
Merchandise imports (current US$),TM.VAL.MRCH.CD.WT,Curacao,CUW,1461000000
Merchandise imports (current US$),TM.VAL.MRCH.CD.WT,Cyprus,CYP,9127000000
Merchandise imports (current US$),TM.VAL.MRCH.CD.WT,Czechia,CZE,179039000000
Merchandise imports (current US$),TM.VAL.MRCH.CD.WT,Denmark,DNK,98184000000
Merchandise imports (current US$),TM.VAL.MRCH.CD.WT,Djibouti,DJI,4138000000
Merchandise imports (current US$),TM.VAL.MRCH.CD.WT,Dominica,DMA,319000000
Merchandise imports (current US$),TM.VAL.MRCH.CD.WT,Dominican Republic,DOM,20268000000
Merchandise imports (current US$),TM.VAL.MRCH.CD.WT,Ecuador,ECU,22564000000
Merchandise imports (current US$),TM.VAL.MRCH.CD.WT,"Egypt, Arab Rep.",EGY,70991000000
Merchandise imports (current US$),TM.VAL.MRCH.CD.WT,El Salvador,SLV,11602000000
Merchandise imports (current US$),TM.VAL.MRCH.CD.WT,Equatorial Guinea,GNQ,2100000000
Merchandise imports (current US$),TM.VAL.MRCH.CD.WT,Eritrea,ERI,1147000000
Merchandise imports (current US$),TM.VAL.MRCH.CD.WT,Estonia,EST,18025000000
Merchandise imports (current US$),TM.VAL.MRCH.CD.WT,Eswatini,SWZ,1832000000
Merchandise imports (current US$),TM.VAL.MRCH.CD.WT,Ethiopia,ETH,14554000000
Merchandise imports (current US$),TM.VAL.MRCH.CD.WT,Faroe Islands,FRO,..
Merchandise imports (current US$),TM.VAL.MRCH.CD.WT,Fiji,FJI,2734000000
Merchandise imports (current US$),TM.VAL.MRCH.CD.WT,Finland,FIN,73716000000
Merchandise imports (current US$),TM.VAL.MRCH.CD.WT,France,FRA,654658000000
Merchandise imports (current US$),TM.VAL.MRCH.CD.WT,French Polynesia,PYF,2102000000
Merchandise imports (current US$),TM.VAL.MRCH.CD.WT,Gabon,GAB,2538000000
Merchandise imports (current US$),TM.VAL.MRCH.CD.WT,"Gambia, The",GMB,621000000
Merchandise imports (current US$),TM.VAL.MRCH.CD.WT,Georgia,GEO,9520000000
Merchandise imports (current US$),TM.VAL.MRCH.CD.WT,Germany,DEU,1233978000000
Merchandise imports (current US$),TM.VAL.MRCH.CD.WT,Ghana,GHA,13411000000
Merchandise imports (current US$),TM.VAL.MRCH.CD.WT,Gibraltar,GIB,..
Merchandise imports (current US$),TM.VAL.MRCH.CD.WT,Greece,GRC,62384000000
Merchandise imports (current US$),TM.VAL.MRCH.CD.WT,Greenland,GRL,986000000
Merchandise imports (current US$),TM.VAL.MRCH.CD.WT,Grenada,GRD,480000000
Merchandise imports (current US$),TM.VAL.MRCH.CD.WT,Guam,GUM,1050000000
Merchandise imports (current US$),TM.VAL.MRCH.CD.WT,Guatemala,GTM,19882000000
Merchandise imports (current US$),TM.VAL.MRCH.CD.WT,Guinea,GIN,3470000000
Merchandise imports (current US$),TM.VAL.MRCH.CD.WT,Guinea-Bissau,GNB,335000000
Merchandise imports (current US$),TM.VAL.MRCH.CD.WT,Guyana,GUY,4040000000
Merchandise imports (current US$),TM.VAL.MRCH.CD.WT,Haiti,HTI,4513000000
Merchandise imports (current US$),TM.VAL.MRCH.CD.WT,Honduras,HND,12149000000
Merchandise imports (current US$),TM.VAL.MRCH.CD.WT,"Hong Kong SAR, China",HKG,577834000000
Merchandise imports (current US$),TM.VAL.MRCH.CD.WT,Hungary,HUN,120590000000
Merchandise imports (current US$),TM.VAL.MRCH.CD.WT,Iceland,ISL,6567000000
Merchandise imports (current US$),TM.VAL.MRCH.CD.WT,India,IND,486059000000
Merchandise imports (current US$),TM.VAL.MRCH.CD.WT,Indonesia,IDN,171276000000
Merchandise imports (current US$),TM.VAL.MRCH.CD.WT,"Iran, Islamic Rep.",IRN,41828000000
Merchandise imports (current US$),TM.VAL.MRCH.CD.WT,Iraq,IRQ,72283000000
Merchandise imports (current US$),TM.VAL.MRCH.CD.WT,Ireland,IRL,101104000000
Merchandise imports (current US$),TM.VAL.MRCH.CD.WT,Isle of Man,IMN,..
Merchandise imports (current US$),TM.VAL.MRCH.CD.WT,Israel,ISR,76591000000
Merchandise imports (current US$),TM.VAL.MRCH.CD.WT,Italy,ITA,475006000000
Merchandise imports (current US$),TM.VAL.MRCH.CD.WT,Jamaica,JAM,6389000000
Merchandise imports (current US$),TM.VAL.MRCH.CD.WT,Japan,JPN,720957000000
Merchandise imports (current US$),TM.VAL.MRCH.CD.WT,Jordan,JOR,19170000000
Merchandise imports (current US$),TM.VAL.MRCH.CD.WT,Kazakhstan,KAZ,37757000000
Merchandise imports (current US$),TM.VAL.MRCH.CD.WT,Kenya,KEN,17655000000
Merchandise imports (current US$),TM.VAL.MRCH.CD.WT,Kiribati,KIR,132000000
Merchandise imports (current US$),TM.VAL.MRCH.CD.WT,"Korea, Dem. People's Rep.",PRK,2977000000
Merchandise imports (current US$),TM.VAL.MRCH.CD.WT,"Korea, Rep.",KOR,503343000000
Merchandise imports (current US$),TM.VAL.MRCH.CD.WT,Kosovo,XKX,..
Merchandise imports (current US$),TM.VAL.MRCH.CD.WT,Kuwait,KWT,33574000000
Merchandise imports (current US$),TM.VAL.MRCH.CD.WT,Kyrgyz Republic,KGZ,4989000000
Merchandise imports (current US$),TM.VAL.MRCH.CD.WT,Lao PDR,LAO,6272000000
Merchandise imports (current US$),TM.VAL.MRCH.CD.WT,Latvia,LVA,18959000000
Merchandise imports (current US$),TM.VAL.MRCH.CD.WT,Lebanon,LBN,19641000000
Merchandise imports (current US$),TM.VAL.MRCH.CD.WT,Lesotho,LSO,1783000000
Merchandise imports (current US$),TM.VAL.MRCH.CD.WT,Liberia,LBR,1033000000
Merchandise imports (current US$),TM.VAL.MRCH.CD.WT,Libya,LBY,17184000000
Merchandise imports (current US$),TM.VAL.MRCH.CD.WT,Liechtenstein,LIE,..
Merchandise imports (current US$),TM.VAL.MRCH.CD.WT,Lithuania,LTU,35759000000
Merchandise imports (current US$),TM.VAL.MRCH.CD.WT,Luxembourg,LUX,24264000000
Merchandise imports (current US$),TM.VAL.MRCH.CD.WT,"Macao SAR, China",MAC,11167000000
Merchandise imports (current US$),TM.VAL.MRCH.CD.WT,Madagascar,MDG,3942000000
Merchandise imports (current US$),TM.VAL.MRCH.CD.WT,Malawi,MWI,2941000000
Merchandise imports (current US$),TM.VAL.MRCH.CD.WT,Malaysia,MYS,204998000000
Merchandise imports (current US$),TM.VAL.MRCH.CD.WT,Maldives,MDV,2888000000
Merchandise imports (current US$),TM.VAL.MRCH.CD.WT,Mali,MLI,5134000000
Merchandise imports (current US$),TM.VAL.MRCH.CD.WT,Malta,MLT,7388000000
Merchandise imports (current US$),TM.VAL.MRCH.CD.WT,Marshall Islands,MHL,68000000
Merchandise imports (current US$),TM.VAL.MRCH.CD.WT,Mauritania,MRT,3520000000
Merchandise imports (current US$),TM.VAL.MRCH.CD.WT,Mauritius,MUS,5596000000
Merchandise imports (current US$),TM.VAL.MRCH.CD.WT,Mexico,MEX,467118000000
Merchandise imports (current US$),TM.VAL.MRCH.CD.WT,"Micronesia, Fed. Sts.",FSM,194000000
Merchandise imports (current US$),TM.VAL.MRCH.CD.WT,Moldova,MDA,5843000000
Merchandise imports (current US$),TM.VAL.MRCH.CD.WT,Monaco,MCO,..
Merchandise imports (current US$),TM.VAL.MRCH.CD.WT,Mongolia,MNG,6128000000
Merchandise imports (current US$),TM.VAL.MRCH.CD.WT,Montenegro,MNE,2909000000
Merchandise imports (current US$),TM.VAL.MRCH.CD.WT,Morocco,MAR,50734000000
Merchandise imports (current US$),TM.VAL.MRCH.CD.WT,Mozambique,MOZ,7428000000
Merchandise imports (current US$),TM.VAL.MRCH.CD.WT,Myanmar,MMR,18588000000
Merchandise imports (current US$),TM.VAL.MRCH.CD.WT,Namibia,NAM,8086000000
Merchandise imports (current US$),TM.VAL.MRCH.CD.WT,Nauru,NRU,36000000
Merchandise imports (current US$),TM.VAL.MRCH.CD.WT,Nepal,NPL,12340000000
Merchandise imports (current US$),TM.VAL.MRCH.CD.WT,Netherlands,NLD,635678000000
Merchandise imports (current US$),TM.VAL.MRCH.CD.WT,New Caledonia,NCL,2944000000
Merchandise imports (current US$),TM.VAL.MRCH.CD.WT,New Zealand,NZL,42363000000
Merchandise imports (current US$),TM.VAL.MRCH.CD.WT,Nicaragua,NIC,6837000000
Merchandise imports (current US$),TM.VAL.MRCH.CD.WT,Niger,NER,2326000000
Merchandise imports (current US$),TM.VAL.MRCH.CD.WT,Nigeria,NGA,55257000000
Merchandise imports (current US$),TM.VAL.MRCH.CD.WT,North Macedonia,MKD,9471000000
