Series Name,Series Code,Country Name,Country Code,2019 [YR2019]
"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,Afghanistan,AFG,2.30237251516844
"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,Albania,ALB,1.41109078954248
"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,Algeria,DZA,1.95176821052894
"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,American Samoa,ASM,..
"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,Andorra,AND,..
"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,Angola,AGO,17.0797044074954
"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,Antigua and Barbuda,ATG,1.43135598182989
"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,Argentina,ARG,..
"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,Armenia,ARM,1.44344660770702
"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,Aruba,ABW,4.25746204335428
"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,Australia,AUS,1.61076787290379
"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,Austria,AUT,1.53089564152645
"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,Azerbaijan,AZE,2.61057182799216
"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,"Bahamas, The",BHS,2.49123527368055
"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,Bahrain,BHR,1.00582004702132
"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,Bangladesh,BGD,5.59199639930632
"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,Barbados,BRB,4.10028964518463
"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,Belarus,BLR,5.59815595039853
"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,Belgium,BEL,1.43681956996435
"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,Belize,BLZ,0.187069385181357
"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,Benin,BEN,-0.70502663454275
"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,Bermuda,BMU,..
"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,Bhutan,BTN,2.72643037388825
"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,Bolivia,BOL,1.83954504969032
"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,Bosnia and Herzegovina,BIH,0.562782154061303
"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,Botswana,BWA,2.7728644286333
"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,Brazil,BRA,3.73297621216894
"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,British Virgin Islands,VGB,..
"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,Brunei Darussalam,BRN,-0.390522069165492
"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,Bulgaria,BGR,3.10372944796774
"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,Burkina Faso,BFA,-3.23338933983321
"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,Burundi,BDI,-0.686772170797229
"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,Cabo Verde,CPV,1.1066667429606
"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,Cambodia,KHM,1.94257500833109
"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,Cameroon,CMR,2.45280214062733
"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,Canada,CAN,1.94926902411596
"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,Cayman Islands,CYM,..
"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,Central African Republic,CAF,2.68537355266785
"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,Chad,TCD,-0.971939175419353
"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,Channel Islands,CHI,..
"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,Chile,CHL,2.55754475703323
"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,China,CHN,2.89923416358227
"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,Colombia,COL,3.52301932741443
"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,Comoros,COM,..
"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,"Congo, Dem. Rep.",COD,..
"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,"Congo, Rep.",COG,2.20607305781519
"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,Costa Rica,CRI,2.09604635327805
"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,Cote d'Ivoire,CIV,-1.10686343994202
"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,Croatia,HRV,0.771820346498083
