Series Name,Series Code,Country Name,Country Code,2019 [YR2019]
Rail lines (total route-km),IS.RRS.TOTL.KM,Afghanistan,AFG,..
Rail lines (total route-km),IS.RRS.TOTL.KM,Albania,ALB,..
Rail lines (total route-km),IS.RRS.TOTL.KM,Algeria,DZA,4020.25
Rail lines (total route-km),IS.RRS.TOTL.KM,American Samoa,ASM,..
Rail lines (total route-km),IS.RRS.TOTL.KM,Andorra,AND,..
Rail lines (total route-km),IS.RRS.TOTL.KM,Angola,AGO,..
Rail lines (total route-km),IS.RRS.TOTL.KM,Antigua and Barbuda,ATG,..
Rail lines (total route-km),IS.RRS.TOTL.KM,Argentina,ARG,17866
Rail lines (total route-km),IS.RRS.TOTL.KM,Armenia,ARM,698.4
Rail lines (total route-km),IS.RRS.TOTL.KM,Aruba,ABW,..
Rail lines (total route-km),IS.RRS.TOTL.KM,Australia,AUS,..
Rail lines (total route-km),IS.RRS.TOTL.KM,Austria,AUT,4968
Rail lines (total route-km),IS.RRS.TOTL.KM,Azerbaijan,AZE,2139.87
Rail lines (total route-km),IS.RRS.TOTL.KM,"Bahamas, The",BHS,..
Rail lines (total route-km),IS.RRS.TOTL.KM,Bahrain,BHR,..
Rail lines (total route-km),IS.RRS.TOTL.KM,Bangladesh,BGD,2877
Rail lines (total route-km),IS.RRS.TOTL.KM,Barbados,BRB,..
Rail lines (total route-km),IS.RRS.TOTL.KM,Belarus,BLR,5459.2
Rail lines (total route-km),IS.RRS.TOTL.KM,Belgium,BEL,3615
Rail lines (total route-km),IS.RRS.TOTL.KM,Belize,BLZ,..
Rail lines (total route-km),IS.RRS.TOTL.KM,Benin,BEN,..
Rail lines (total route-km),IS.RRS.TOTL.KM,Bermuda,BMU,..
Rail lines (total route-km),IS.RRS.TOTL.KM,Bhutan,BTN,..
Rail lines (total route-km),IS.RRS.TOTL.KM,Bolivia,BOL,..
Rail lines (total route-km),IS.RRS.TOTL.KM,Bosnia and Herzegovina,BIH,1018.054
Rail lines (total route-km),IS.RRS.TOTL.KM,Botswana,BWA,886
Rail lines (total route-km),IS.RRS.TOTL.KM,Brazil,BRA,..
Rail lines (total route-km),IS.RRS.TOTL.KM,British Virgin Islands,VGB,..
Rail lines (total route-km),IS.RRS.TOTL.KM,Brunei Darussalam,BRN,..
Rail lines (total route-km),IS.RRS.TOTL.KM,Bulgaria,BGR,4030
Rail lines (total route-km),IS.RRS.TOTL.KM,Burkina Faso,BFA,518
Rail lines (total route-km),IS.RRS.TOTL.KM,Burundi,BDI,..
Rail lines (total route-km),IS.RRS.TOTL.KM,Cabo Verde,CPV,..
Rail lines (total route-km),IS.RRS.TOTL.KM,Cambodia,KHM,..
Rail lines (total route-km),IS.RRS.TOTL.KM,Cameroon,CMR,884
Rail lines (total route-km),IS.RRS.TOTL.KM,Canada,CAN,47987.47
Rail lines (total route-km),IS.RRS.TOTL.KM,Cayman Islands,CYM,..
Rail lines (total route-km),IS.RRS.TOTL.KM,Central African Republic,CAF,..
Rail lines (total route-km),IS.RRS.TOTL.KM,Chad,TCD,..
Rail lines (total route-km),IS.RRS.TOTL.KM,Channel Islands,CHI,..
Rail lines (total route-km),IS.RRS.TOTL.KM,Chile,CHL,2396
