Series Name,Series Code,Country Name,Country Code,2019 [YR2019]
Population in urban agglomerations of more than 1 million (% of total population),EN.URB.MCTY.TL.ZS,Afghanistan,AFG,10.8924664317099
Population in urban agglomerations of more than 1 million (% of total population),EN.URB.MCTY.TL.ZS,Albania,ALB,..
Population in urban agglomerations of more than 1 million (% of total population),EN.URB.MCTY.TL.ZS,Algeria,DZA,6.39105837935877
Population in urban agglomerations of more than 1 million (% of total population),EN.URB.MCTY.TL.ZS,American Samoa,ASM,..
Population in urban agglomerations of more than 1 million (% of total population),EN.URB.MCTY.TL.ZS,Andorra,AND,..
Population in urban agglomerations of more than 1 million (% of total population),EN.URB.MCTY.TL.ZS,Angola,AGO,24.8650474253427
Population in urban agglomerations of more than 1 million (% of total population),EN.URB.MCTY.TL.ZS,Antigua and Barbuda,ATG,..
Population in urban agglomerations of more than 1 million (% of total population),EN.URB.MCTY.TL.ZS,Argentina,ARG,42.9040289361208
Population in urban agglomerations of more than 1 million (% of total population),EN.URB.MCTY.TL.ZS,Armenia,ARM,38.4075101698148
Population in urban agglomerations of more than 1 million (% of total population),EN.URB.MCTY.TL.ZS,Aruba,ABW,..
Population in urban agglomerations of more than 1 million (% of total population),EN.URB.MCTY.TL.ZS,Australia,AUS,60.9572088510529
Population in urban agglomerations of more than 1 million (% of total population),EN.URB.MCTY.TL.ZS,Austria,AUT,21.5693159397832
Population in urban agglomerations of more than 1 million (% of total population),EN.URB.MCTY.TL.ZS,Azerbaijan,AZE,23.0753461369756
Population in urban agglomerations of more than 1 million (% of total population),EN.URB.MCTY.TL.ZS,"Bahamas, The",BHS,..
Population in urban agglomerations of more than 1 million (% of total population),EN.URB.MCTY.TL.ZS,Bahrain,BHR,..
Population in urban agglomerations of more than 1 million (% of total population),EN.URB.MCTY.TL.ZS,Bangladesh,BGD,15.2239971982927
Population in urban agglomerations of more than 1 million (% of total population),EN.URB.MCTY.TL.ZS,Barbados,BRB,..
Population in urban agglomerations of more than 1 million (% of total population),EN.URB.MCTY.TL.ZS,Belarus,BLR,21.4090107198083
Population in urban agglomerations of more than 1 million (% of total population),EN.URB.MCTY.TL.ZS,Belgium,BEL,27.0049647575329
Population in urban agglomerations of more than 1 million (% of total population),EN.URB.MCTY.TL.ZS,Belize,BLZ,..
Population in urban agglomerations of more than 1 million (% of total population),EN.URB.MCTY.TL.ZS,Benin,BEN,..
Population in urban agglomerations of more than 1 million (% of total population),EN.URB.MCTY.TL.ZS,Bermuda,BMU,..
Population in urban agglomerations of more than 1 million (% of total population),EN.URB.MCTY.TL.ZS,Bhutan,BTN,..
Population in urban agglomerations of more than 1 million (% of total population),EN.URB.MCTY.TL.ZS,Bolivia,BOL,40.6112598669561
Population in urban agglomerations of more than 1 million (% of total population),EN.URB.MCTY.TL.ZS,Bosnia and Herzegovina,BIH,..
Population in urban agglomerations of more than 1 million (% of total population),EN.URB.MCTY.TL.ZS,Botswana,BWA,..
Population in urban agglomerations of more than 1 million (% of total population),EN.URB.MCTY.TL.ZS,Brazil,BRA,41.9587621242922
Population in urban agglomerations of more than 1 million (% of total population),EN.URB.MCTY.TL.ZS,British Virgin Islands,VGB,..
Population in urban agglomerations of more than 1 million (% of total population),EN.URB.MCTY.TL.ZS,Brunei Darussalam,BRN,..
Population in urban agglomerations of more than 1 million (% of total population),EN.URB.MCTY.TL.ZS,Bulgaria,BGR,18.3053433166647
Population in urban agglomerations of more than 1 million (% of total population),EN.URB.MCTY.TL.ZS,Burkina Faso,BFA,12.6611574397592
Population in urban agglomerations of more than 1 million (% of total population),EN.URB.MCTY.TL.ZS,Burundi,BDI,..
Population in urban agglomerations of more than 1 million (% of total population),EN.URB.MCTY.TL.ZS,Cabo Verde,CPV,..
Population in urban agglomerations of more than 1 million (% of total population),EN.URB.MCTY.TL.ZS,Cambodia,KHM,12.4262497697089
Population in urban agglomerations of more than 1 million (% of total population),EN.URB.MCTY.TL.ZS,Cameroon,CMR,28.5410234858037
Population in urban agglomerations of more than 1 million (% of total population),EN.URB.MCTY.TL.ZS,Canada,CAN,45.7730877420765
Population in urban agglomerations of more than 1 million (% of total population),EN.URB.MCTY.TL.ZS,Cayman Islands,CYM,..
Population in urban agglomerations of more than 1 million (% of total population),EN.URB.MCTY.TL.ZS,Central African Republic,CAF,..
Population in urban agglomerations of more than 1 million (% of total population),EN.URB.MCTY.TL.ZS,Chad,TCD,8.50459103461268
Population in urban agglomerations of more than 1 million (% of total population),EN.URB.MCTY.TL.ZS,Channel Islands,CHI,..
Population in urban agglomerations of more than 1 million (% of total population),EN.URB.MCTY.TL.ZS,Chile,CHL,35.3135392054985
Population in urban agglomerations of more than 1 million (% of total population),EN.URB.MCTY.TL.ZS,China,CHN,28.3415047469535
Population in urban agglomerations of more than 1 million (% of total population),EN.URB.MCTY.TL.ZS,Colombia,COL,44.0635286071569
Population in urban agglomerations of more than 1 million (% of total population),EN.URB.MCTY.TL.ZS,Comoros,COM,..
Population in urban agglomerations of more than 1 million (% of total population),EN.URB.MCTY.TL.ZS,"Congo, Dem. Rep.",COD,23.5151310427933
Population in urban agglomerations of more than 1 million (% of total population),EN.URB.MCTY.TL.ZS,"Congo, Rep.",COG,62.5337635101162
Population in urban agglomerations of more than 1 million (% of total population),EN.URB.MCTY.TL.ZS,Costa Rica,CRI,27.1125444780365
Population in urban agglomerations of more than 1 million (% of total population),EN.URB.MCTY.TL.ZS,Cote d'Ivoire,CIV,19.3461712724071
Population in urban agglomerations of more than 1 million (% of total population),EN.URB.MCTY.TL.ZS,Croatia,HRV,..
Population in urban agglomerations of more than 1 million (% of total population),EN.URB.MCTY.TL.ZS,Cuba,CUB,18.8961408085769
Population in urban agglomerations of more than 1 million (% of total population),EN.URB.MCTY.TL.ZS,Curacao,CUW,..
Population in urban agglomerations of more than 1 million (% of total population),EN.URB.MCTY.TL.ZS,Cyprus,CYP,..
Population in urban agglomerations of more than 1 million (% of total population),EN.URB.MCTY.TL.ZS,Czechia,CZE,12.1703506508231
Population in urban agglomerations of more than 1 million (% of total population),EN.URB.MCTY.TL.ZS,Denmark,DNK,22.9410249204478
Population in urban agglomerations of more than 1 million (% of total population),EN.URB.MCTY.TL.ZS,Djibouti,DJI,..
Population in urban agglomerations of more than 1 million (% of total population),EN.URB.MCTY.TL.ZS,Dominica,DMA,..
Population in urban agglomerations of more than 1 million (% of total population),EN.URB.MCTY.TL.ZS,Dominican Republic,DOM,29.8204023899542
Population in urban agglomerations of more than 1 million (% of total population),EN.URB.MCTY.TL.ZS,Ecuador,ECU,27.6405550359957
Population in urban agglomerations of more than 1 million (% of total population),EN.URB.MCTY.TL.ZS,"Egypt, Arab Rep.",EGY,24.3019674049866
Population in urban agglomerations of more than 1 million (% of total population),EN.URB.MCTY.TL.ZS,El Salvador,SLV,17.6054744605163
Population in urban agglomerations of more than 1 million (% of total population),EN.URB.MCTY.TL.ZS,Equatorial Guinea,GNQ,..
Population in urban agglomerations of more than 1 million (% of total population),EN.URB.MCTY.TL.ZS,Eritrea,ERI,..
Population in urban agglomerations of more than 1 million (% of total population),EN.URB.MCTY.TL.ZS,Estonia,EST,..
Population in urban agglomerations of more than 1 million (% of total population),EN.URB.MCTY.TL.ZS,Eswatini,SWZ,..
Population in urban agglomerations of more than 1 million (% of total population),EN.URB.MCTY.TL.ZS,Ethiopia,ETH,4.02379871944936
